实际值	线性回归	决策树	SVR	随机深林	GBDT
366.3	427.58256651539637	398.93	490.2435804530011	384.412	382.1325343581357
300.93	358.2667712168513	334.51545454545453	399.603694444208	316.494	326.64757467271517
38.2	152.16429818436242	104.265	185.88061028763835	86.093	27.51372414939189
461.8	477.3971613079423	439.2938461538461	507.0216247814969	451.81925	452.28672255890626
575.3	438.8926440254257	593.97	486.71097827843886	557.6963333333333	555.2127665511233
389.17	393.86412275391064	293.1477777777778	416.67298924929236	298.061	319.44889464800417
604.8	605.3765504615932	631.4341935483872	624.1844089461073	643.798	673.9032750490675
503.0	463.8780282692937	439.2938461538461	492.3937590694076	423.149	448.60584226938954
604.17	524.7861562056396	587.1622222222223	532.8638432255358	630.8180000000001	600.1166561954046
201.7	258.06001294106056	136.53833333333333	282.6470187769894	163.6504	153.70367311871814
659.67	657.5656563894798	676.0715789473685	661.6581534906298	683.3949999999999	677.9371292800248
325.9	410.6916204603121	293.1477777777778	469.7405504941286	339.283	324.3884401466542
241.57000000000002	302.8934112296805	206.90083333333328	317.4837899928835	197.824	256.3334888776694
87.47	195.12264710100916	149.6877777777778	216.7052001729751	97.62899999999999	89.37651918260376
247.83	323.4639945636399	244.6808333333333	360.0221277029771	270.17299999999994	252.86376120007245
442.06999999999994	477.4696651489173	439.2938461538461	499.51226882582534	448.35875000000004	428.44010240074294
266.2	240.181150211435	136.53833333333333	283.3538116777141	156.2884	160.29913107027602
422.00000000000006	405.5610504796442	417.58919999999995	442.9149201549864	452.518	488.8423337271405
327.0	406.1722548027952	351.49999999999994	432.8632369187611	385.3860000000001	393.5518885252366
432.50000000000006	450.87054831840317	417.58919999999995	496.5797558357241	426.9323333333334	483.2514062437381
583.5	519.757822524987	631.4341935483872	562.0525490608558	638.9905000000001	619.6426656046286
495.8	544.9753634592113	587.1622222222223	580.0976336037598	587.3815	573.3131737502459
10.47	-60.6031679047682	28.6	21.905730923226766	17.605	-7.12504766068274
479.92999999999995	537.5474423946281	587.1622222222223	572.2029172963346	575.8245000000001	540.9810235764764
326.43	278.1312128978524	334.51545454545453	378.96830200603205	333.97400000000005	339.57712947685485
526.97	438.179126766407	547.7074999999999	503.75810111022145	537.7796666666667	515.8445832613857
562.97	490.49284495641245	587.1622222222223	535.1788879823149	600.1645000000001	579.65869336043
8.37	163.47058711451942	15.300000000000002	161.40521925094072	52.328	79.31067713561781
21.6	178.0498649910395	25.67	164.0989999839666	50.021	115.62473846618173
40.3	195.1164063431723	25.67	195.68031493004392	43.848000000000006	96.75260940550402
295.57	333.4589030415569	244.6808333333333	352.87966992204815	259.776	255.78020733139667
154.17	290.17714723702426	217.89	310.12137544829756	169.681	183.44038117963674
36.43	206.1036228010647	191.8	249.3484385482406	141.10500000000002	163.14857029543197
492.3999999999999	439.1077304015047	525.1128571428571	484.77724887787195	506.57274999999987	522.0229842263269
74.5	194.97812889841143	149.6877777777778	223.12326881011452	96.819	79.55810975509603
46.63	113.56343864004423	115.06428571428569	162.45826040604413	109.78800000000001	133.73599411430712
245.32999999999998	331.4944424064236	244.6808333333333	349.2807325432081	274.54850000000005	254.234605229468
62.47	264.8574157379666	136.53833333333333	260.03322400444	143.65116666666665	168.63942072099704
545.0	476.8920760280656	587.1622222222223	522.2439819460641	587.2675	590.7684995184411
298.63	299.01250340609164	334.51545454545453	367.11144709853556	335.324	370.3478184335229
345.9	393.2610106684462	244.6808333333333	387.7594321922489	309.843	295.609100525272
128.37	203.26849356179656	149.6877777777778	274.95778551023994	131.58599999999998	169.92344144084697
138.1	270.81897720667314	149.6877777777778	232.66828686397093	160.738	100.8489736205762
126.13	107.63903217516255	115.06428571428569	209.39377304955275	82.1625	180.19673505088912
202.7	248.90097687349007	206.90083333333328	316.91229860772427	210.24200000000005	192.32895790677915
390.83	475.9865584792064	351.49999999999994	430.37524099996824	399.786	440.2582359998864
139.2	247.69035683857612	206.90083333333328	297.8560932327637	206.841	175.13328803678903
131.5	175.98002433682953	115.06428571428569	229.11535473132477	107.1195	116.45002274915694
69.28	280.38042218192834	66.2	208.99691952628905	79.128	149.41174323567262
155.4	206.59538715386455	149.6877777777778	266.36460304066543	120.4175	143.9067841412056
57.0	87.27406734334063	115.06428571428569	200.48634032318608	120.06916666666665	71.13399502691544
77.11	204.89091742441872	116.3	151.4255518838767	102.56700000000001	114.81472848742115
205.4	297.9552151943829	206.90083333333328	334.51565036422596	222.5965	223.45709903071588
259.2	322.7681628299347	244.6808333333333	378.9794213278234	294.594	272.18858339203155
156.9	166.51600396940728	149.6877777777778	249.05403197554375	142.19	164.46454895748818
