"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082016072000558","350.53","1118.57","332.77","771.37","21.57","23.63","27","49.63","2017/7/14 4:00:00","2058.17","795.17","136.67","12.03"
"2","XH8082016072000558","354.43","1267.87","168.37","972.9","9.37","10.6","30.73","21.03","2017/7/10 22:00:00","935.5","332.2","67.73","8.17"
"3","XH8082016072000558","353.83","1236.17","324.57","836.53","21.67","24.5","28.7","42","2017/7/14 2:00:00","2162.37","782.23","134.3","12.33"
"4","XH8082016072000558","362.67","2336.5","21","1556.5","18.37","21.33","39.77","20.57","2017/7/13 15:00:00","1878.23","673.27","111.17","9.63"
"5","XH8082016072000558","348.53","1021.77","322.5","831.93","11.5","13.87","25","45.7","2017/7/15 4:00:00","1029.9","402.37","90.6","11.33"
"6","XH8082016072000558","339.7","2249.33","21.03","1402.37","7.2","8.83","43.5","10.3","2017/7/11 17:00:00","823.77","262.87","53.17","6.4"
"7","XH8082016072000558","380.77","938","395.1","722.2","21.73","29.07","25","38.33","2017/7/12 8:00:00","1623.2","705.43","179.37","27.13"
"8","XH8082016072000558","354.2","1482.43","122.53","982.67","21.93","24.97","31.53","33.07","2017/7/12 23:00:00","2213.83","813.4","131.4","12.03"
"9","XH8082016072000558","358.13","1152","236.73","900.2","14.67","16.83","29","23.7","2017/7/11","1424.57","515.6","101.67","10.67"
"10","XH8082016072000558","355.83","1070.73","317.53","790.63","15","20.1","27.73","27.97","2017/7/12 3:00:00","1209.23","489.9","119.2","18.63"
"11","XH8082016072000558","352.3","1445.47","81.9","1018.27","11.2","13.87","32.53","19.73","2017/7/11 22:00:00","1028.97","368.5","83","10.93"
"12","XH8082016072000558","358.17","1088.27","407.8","736.53","24.27","27.57","26","51.17","2017/7/14 6:00:00","2182.53","864.3","159.2","16"
"13","XH8082016072000558","375.93","1076.9","328.47","793.8","35.03","37.7","24.23","52.03","2017/7/13 8:00:00","3142.73","1274.23","222.1","17.03"
"14","XH8082016072000558","372.13","1991.37","20.67","1536.03","17.57","21.27","33.1","25.37","2017/7/14 12:00:00","1589.07","602.23","116.73","12.4"
"15","XH8082016072000558","358.33","1195.93","320.7","796.2","34.97","37","26.3","51.27","2017/7/13 4:00:00","3203.3","1279.53","213.73","14.83"
"16","XH8082016072000558","359.3","1069.03","231.8","829.87","14.37","17.87","27","28.37","2017/7/11 3:00:00","1184.27","464.5","113.47","14.93"
"17","XH8082016072000558","371.1","2078.27","21","1841.97","15.7","19.13","32.33","23.67","2017/7/11 13:00:00","1463.6","551.63","110.7","13"
"18","XH8082016072000558","386.73","1318.37","27.37","1274.47","14.6","18.17","26.3","32","2017/7/10 9:00:00","1231.23","496.6","114.43","15.87"
"19","XH8082016072000558","364.23","933.17","396.1","711","17.7","22.87","25.9","30.77","2017/7/11 4:00:00","1375.4","581.57","146.37","22.97"
