"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A417010801273","441.17","1568.23","-386.1","2400.87","13.1","16.3","33.63","19.3","2017/7/11 13:00:00","1937","713.8","178.27","22.97"
"2","XH808A417010801273","357.27","823.53","348.87","1388.53","7.03","7.77","30.47","17.67","2017/7/10 22:00:00","1234.97","394.9","101.4","12.9"
"3","XH808A417010801273","414.77","1128.23","-28.17","1825.83","17.43","22.07","36.1","20.83","2017/7/13 15:00:00","2280.13","897.67","219.7","23.2"
"4","XH808A417010801273","381","972.43","266.53","1366.87","6.9","8.67","32.73","16.73","2017/7/11 22:00:00","1213.7","393.17","107.5","19.1"
"5","XH808A417010801273","391.87","1146.37","530.47","1408.17","26.5","29.53","26.4","47.7","2017/7/13 4:00:00","3306.23","1447.87","377.83","34.6"
"6","XH808A417010801273","492.7","1603.57","244.33","1759.53","14.63","17.6","25","35.27","2017/7/12 8:00:00","2089.13","820.07","231.27","37.43"
"7","XH808A417010801273","388","1051.27","317.27","1489.8","19.47","22.93","31.87","28.5","2017/7/12 23:00:00","2611.17","1057.17","249.43","24.47"
"8","XH808A417010801273","402.03","1139.67","538.77","1344.03","20.23","23.5","29","37.73","2017/7/14 2:00:00","2600.73","1028.87","250.5","25.43"
"9","XH808A417010801273","383.35","1194.48","526.06","1379.39","15.61","17.39","27.42","45.03","2017/7/14 4:00:00","2226.35","874.74","221.74","23.23"
"10","XH808A417010801273","394.23","1096.63","345.5","1315.17","8.67","9.97","27.67","24.03","2017/7/11 3:00:00","1474.63","489.8","126.4","17.27"
"11","XH808A417010801273","388.37","1155.8","581.37","1310.3","18.77","21.4","26.07","48.07","2017/7/14 6:00:00","2538.13","1059.8","274.33","30.83"
"12","XH808A417010801273","357.1","828.37","379.37","1335.77","5.23","5.6","29","19.83","2017/7/11","1040.37","297.93","76.1","9.63"
"13","XH808A417010801273","433.5","1215.67","67.93","1816.03","11.9","14.4","32.83","23.37","2017/7/14 12:00:00","1739.97","644.03","165","20.1"
"14","XH808A417010801273","396.37","1129.13","499.1","1264.47","9.6","11.07","28.23","24.57","2017/7/12 3:00:00","1489.63","516.33","141.9","22.07"
"15","XH808A417010801273","403.4","856.37","-43.13","1599.2","10.13","13","38","10.1","2017/7/11 17:00:00","1466.9","501.87","128.9","16.77"
"16","XH808A417010801273","368.03","960.53","178.3","1623.5","10.53","13.27","36.13","20.07","2017/7/14 16:00:00","1571.33","553.53","146.47","18.03"
"17","XH808A417010801273","464","1635.37","-269.7","2444.77","26.2","30.9","28.7","27.27","2017/7/11 11:00:00","3349.77","1440.73","354.83","40.6"
"18","XH808A417010801273","387.13","1039.13","467.03","1413.37","13.1","15.6","32.37","28.4","2017/7/13 23:00:00","1869.8","693.4","178.83","20.83"
"19","XH808A417010801273","380.43","1080.67","552.7","1354.97","13.2","15.73","29.97","36.17","2017/7/14 1:00:00","1945.43","730.67","186.6","20.9"
"20","XH808A417010801273","401.77","1150.87","351.6","1469.4","23.87","29.93","34.53","22.67","2017/7/13 21:00:00","2898.9","1201.83","312.63","32.33"
"21","XH808A417010801273","459.6","1515.93","167.47","1861.23","10.77","12.3","25.43","30.53","2017/7/10 9:00:00","1660.67","608.4","160.33","22.23"
"22","XH808A417010801273","463.33","1359.5","382.33","1619.5","36.5","41.27","26.57","46.77","2017/7/13 10:00:00","4310.63","1994.13","510.27","47.53"
"23","XH808A417010801273","412.93","1066.93","445.93","1325.47","9.7","11.77","30.73","19.83","2017/7/12","1506.97","527.1","143.5","22.3"
"24","XH808A417010801273","362.8","934.13","113.97","1596.77","12.17","15.37","36.67","18.13","2017/7/13 19:00:00","1751.6","637.37","161.23","18.53"
"25","XH808A417010801273","433.23","1427.7","206.53","1730.97","13.37","17.27","28","33.8","2017/7/14 21:00:00","1785.67","722.73","224","44.03"
"26","XH808A417010801273","411.43","1082.43","-68.77","1741.9","8.67","10.63","35.57","13.9","2017/7/11 14:00:00","1428.53","482.17","122.93","16.9"
"27","XH808A417010801273","406.03","1054","8","1624.83","7.13","8.7","34.83","14.27","2017/7/10 14:00:00","1191.83","372.8","99.1","13.33"
"28","XH808A417010801273","418.87","905.77","14.5","1516.3","6.5","8.1","37.23","10.3","2017/7/11 15:00:00","1167.4","346.57","88.2","12.5"
"29","XH808A417010801273","398.37","1157.73","437.63","1264.47","13.5","16.43","26.4","26.73","2017/7/11 4:00:00","1944","742.47","206.2","35.77"
"30","XH808A417010801273","491.23","1648.7","-21.33","2096.53","24.23","28.03","26.3","30.73","2017/7/11 10:00:00","3154.23","1350.3","349.17","42.03"
"31","XH808A417010801273","471.13","1387.77","357.93","1620.9","33.2","37.23","25.4","49","2017/7/13 9:00:00","3925.27","1814.83","470.83","45.87"
"32","XH808A417010801273","415.47","950.03","28.17","1488.93","6.9","8.47","36.23","11.63","2017/7/10 15:00:00","1156.37","358.83","95.4","12.13"
"33","XH808A417010801273","392.17","1065.83","16.9","1820.77","13.67","17.07","36.5","21.23","2017/7/14 15:00:00","1851.7","698.27","175.97","18.87"
"34","XH808A417010801273","361.4","932.53","359.47","1504.17","11.17","13.77","33.6","23.93","2017/7/14 17:00:00","1667.13","604.67","160.53","21.3"
"35","XH808A417010801273","410.62","1254.76","441.21","1470.66","14.59","17.03","27","39.45","2017/7/15","2101.31","845.45","224.31","30.34"
"36","XH808A417010801273","430.4","1250.37","446.37","1331.63","15.93","19.5","24","33.47","2017/7/11 7:00:00","2226.6","905.73","250.47","43.4"
"37","XH808A417010801273","428.2","1294.23","-21.5","2073.43","16.43","20.27","34.57","23.1","2017/7/14 13:00:00","2192.03","854.77","213.8","23.33"
"38","XH808A417010801273","405.8","1220.2","508.87","1346.63","10.63","12.33","25","41.83","2017/7/15 4:00:00","1689.73","614.9","159.03","21.4"
"39","XH808A417010801273","378.57","841.23","231.2","1397.9","5.77","6.97","35","13.73","2017/7/10 18:00:00","1075.03","316.03","81.07","10.8"
"40","XH808A417010801273","418.47","1153.9","290.77","1407.83","12.33","15.07","31.97","18.4","2017/7/11 23:00:00","1745.13","646.93","168.03","23.3"
"41","XH808A417010801273","420.5","1285.5","-64.9","1963.9","8.5","9.57","28.87","24.37","2017/7/10 11:00:00","1427.67","493.87","127.4","15.9"
"42","XH808A417010801273","472","1475.5","234.97","1734.37","19.7","23.2","24.4","33.5","2017/7/11 9:00:00","2731.4","1140.9","297.13","40.73"
"43","XH808A417010801273","343.9","574.8","378.77","1293.17","8.6","10.3","35.23","18.53","2017/7/12 20:00:00","1368.9","458.77","114.57","12.67"
"44","XH808A417010801273","490.2","1680.97","75.1","2067.73","35.2","41.07","28.5","41.7","2017/7/13 11:00:00","4132.4","1885.73","481.33","47.4"
"45","XH808A417010801273","418.13","1274.57","460.53","1429.67","13.23","15.77","26","42.97","2017/7/15 2:00:00","1980.83","770.03","204.27","31.4"
"46","XH808A417010801273","407.97","1202.13","558.8","1276.87","12.07","14.93","24.87","44.3","2017/7/15 5:00:00","1785.73","677.17","191.5","33.63"
"47","XH808A417010801273","419.17","1268.43","525.77","1411.13","23.23","26.3","25.33","50.13","2017/7/14 7:00:00","2996.97","1294.93","329.83","35.13"
"48","XH808A417010801273","385.59","1132.21","557.38","1365.66","15.38","17.34","28.24","41.14","2017/7/14 3:00:00","2186.28","857.14","215.24","23"
"49","XH808A417010801273","362.73","852.87","390.23","1382.13","17.63","20.97","33.03","23.2","2017/7/12 22:00:00","2321","926.07","214.17","18.9"
"50","XH808A417010801273","374.27","670.87","57.4","1444.03","8.87","11.07","37.87","10.47","2017/7/11 18:00:00","1398.83","461.43","113.4","13.7"
"51","XH808A417010801273","479.67","1465.43","283.1","1665.53","33.2","37.5","25","49.87","2017/7/13 8:00:00","3927.57","1773.2","463.57","47.97"
"52","XH808A417010801273","339.6","894.4","375.87","1376.6","2.93","3.1","28","22","2017/7/10","778.57","174.63","46.37","6.93"
"53","XH808A417010801273","369.5","512.53","179.4","1275.2","6.93","8.7","38","11.57","2017/7/12 17:00:00","1185.63","368.43","95.23","12.27"
"54","XH808A417010801273","393.27","1227.57","410.63","1350.37","6.23","7.47","25","28.9","2017/7/10 6:00:00","1152.2","359.8","103.37","18.43"
"55","XH808A417010801273","389.63","1140.77","519.53","1418.07","27.17","30.47","25.8","48.97","2017/7/13 5:00:00","3729","1661.93","419.67","40.43"
"56","XH808A417010801273","400.9","1130.28","537.79","1208.14","13.76","16.66","24.24","31.52","2017/7/11 6:00:00","2031.86","798.28","217.24","36.45"
"57","XH808A417010801273","395","1126.5","512.73","1212.37","15","18.37","25.27","29.4","2017/7/11 5:00:00","2238.97","863.37","237.53","38.6"
"58","XH808A417010801273","485.27","1379.63","343.83","1498.63","18.33","22.67","24","34.57","2017/7/11 8:00:00","2435.53","1008.13","284.53","49.27"
"59","XH808A417010801273","402.03","1097.5","72","1682.2","7.4","8.77","33.37","17.77","2017/7/10 13:00:00","1251.43","401.3","106.8","14.37"
"60","XH808A417010801273","383.97","1152.37","364.9","1328.77","6.5","7.37","26.97","24.33","2017/7/10 3:00:00","1263.37","390.27","96.57","15"
"61","XH808A417010801273","377.47","947.93","287.27","1447.43","6.9","7.6","31.97","16.07","2017/7/10 21:00:00","1166","357.33","93.37","11.33"
"62","XH808A417010801273","403.27","1207.27","75.9","1662.6","8.93","10.67","33.13","15.9","2017/7/10 20:00:00","1446.93","487.93","124.13","16.37"
"63","XH808A417010801273","349.67","1000.87","329.97","1442.37","4.43","4.8","29","21.07","2017/7/9 22:00:00","945.8","254.23","66.6","10.27"
"64","XH808A417010801273","419.33","1348.1","387.53","1552.93","30.17","34.67","25","50.33","2017/7/13 7:00:00","3507.17","1552.87","416.57","46.37"
"65","XH808A417010801273","389.13","1036.37","54","1576.93","6.43","8","34.17","14.8","2017/7/10 19:00:00","1117.03","341.87","95.1","15.47"
"66","XH808A417010801273","457.87","1393.23","326.77","1530.7","13.2","15.67","24.37","32.27","2017/7/10 8:00:00","1897.83","749.03","208.6","27.73"
"67","XH808A417010801273","421.1","1270.43","493.13","1421.57","18.03","20.83","26.27","43.27","2017/7/15 1:00:00","2719.1","1117.4","272.43","35.83"
"68","XH808A417010801273","359.2","834","370.17","1342.63","8.47","9.47","29.77","18.27","2017/7/10 23:00:00","1148.47","363","90.97","9.6"
"69","XH808A417010801273","456.57","1717.7","-193.1","2285.73","14.17","16.37","26.93","28.43","2017/7/10 10:00:00","2055.67","790.3","208.4","28.43"
"70","XH808A417010801273","452.97","1408","106.23","1906.23","28.77","34.63","31.2","35.57","2017/7/13 12:00:00","3472.7","1529.63","396.7","41.4"
"71","XH808A417010801273","407.17","1238.97","362.5","1555.1","10.37","12.17","28","34.67","2017/7/14 22:00:00","1568.53","583.37","156.87","23.9"
"72","XH808A417010801273","469.47","1786.43","-284.63","2618.9","23.2","27.37","29.87","33","2017/7/14 11:00:00","2980.07","1249.17","316.57","34.97"
"73","XH808A417010801273","405.63","1412.93","239.13","1855.9","10.6","13.17","26.1","43.27","2017/7/14 19:00:00","1590.67","600.03","172","29.17"
"74","XH808A417010801273","356.07","1007.6","384.73","1330.7","4.1","4.4","28","22.3","2017/7/10 1:00:00","923.33","237.07","61.63","8.4"
"75","XH808A417010801273","389.03","1094.33","457.73","1464.8","22.5","26.83","30.67","35.37","2017/7/13","3488.03","1266.3","290","29.97"
"76","XH808A417010801273","443.37","1612.07","85.37","1800.2","10.93","13.03","24.23","30.97","2017/7/10 7:00:00","1962.13","734.9","194.7","30.73"
"77","XH808A417010801273","423.27","1305.7","343.1","1590.03","13.23","16.17","27.57","36.57","2017/7/14 23:00:00","1792.67","702.2","204.5","33.93"
"78","XH808A417010801273","359.2","916.6","345.2","1433.37","12.93","15.9","35.47","20.7","2017/7/13 20:00:00","1828.03","679.13","171.1","16.8"
"79","XH808A417010801273","396.2","1187.6","558.73","1320.1","12.5","14.17","25.27","43.23","2017/7/15 3:00:00","1999.17","780.27","203.23","25.6"
"80","XH808A417010801273","491.7","1734.3","14.47","2185.67","24.17","29.13","27.4","29.8","2017/7/12 10:00:00","3020.47","1292.87","357.27","49.03"
"81","XH808A417010801273","408.83","1275.87","502.63","1426.4","14.23","16.53","23.8","48.67","2017/7/15 6:00:00","2019.97","794.8","211.3","28.43"
"82","XH808A417010801273","412.83","1073.13","456.93","1329.83","8.67","9.9","29.63","22.17","2017/7/12 1:00:00","1400.23","476.27","128.13","19.53"
"83","XH808A417010801273","350.83","607.43","353.43","1376","5.07","6.33","33.43","14.83","2017/7/11 21:00:00","994.7","260.6","78.03","14.5"
"84","XH808A417010801273","409.5","1124.7","482.43","1281.07","9.73","11.27","29","22.97","2017/7/12 2:00:00","1545.4","540.5","145.5","22.93"
"85","XH808A417010801273","431.03","1309.2","445.37","1454.6","13.37","16.27","25","34.4","2017/7/12 7:00:00","2009","777.93","210.93","35.13"
"86","XH808A417010801273","428.37","1301.7","-169.8","2158.63","14.37","17.1","31.9","21.9","2017/7/11 12:00:00","2106.33","800.03","195.13","22.93"
"87","XH808A417010801273","390.5","1157.07","520.4","1437.3","27.03","31","27.53","46.33","2017/7/13 3:00:00","3372.27","1488.2","387.77","36.17"
"88","XH808A417010801273","382.13","823.03","106.1","1597.87","16.63","20.83","37","18.83","2017/7/13 16:00:00","2112.1","805.6","205.93","20.53"
"89","XH808A417010801273","388.73","1144.23","498.9","1260.97","9.4","10.83","27.17","26","2017/7/12 4:00:00","1538.9","532.07","141.63","21.67"
"90","XH808A417010801273","426.33","870.1","-48.73","1545.47","10.23","13.07","37.9","10.83","2017/7/11 16:00:00","1506.5","515.47","134.83","17.03"
"91","XH808A417010801273","392.27","1033.33","3.27","1595.53","11.1","14.2","36.9","10.93","2017/7/11 19:00:00","1681.3","592.27","144.4","17.67"
"92","XH808A417010801273","354.1","839.67","316.5","1399.6","3.9","4.13","28.23","21.57","2017/7/11 1:00:00","878.83","223.23","59.9","7.6"
"93","XH808A417010801273","358.63","893.27","335.47","1377.5","17.3","23.9","28","22.77","2017/7/11 2:00:00","1307.73","545.8","271.8","62.07"
"94","XH808A417010801273","406.23","1167.8","551.53","1260.2","11.97","14.67","25.63","31.23","2017/7/12 6:00:00","1810.83","677","189.1","33.1"
"95","XH808A417010801273","338.83","895.87","411.43","1381.63","4.2","4.33","28.4","21.6","2017/7/9 23:00:00","957.23","261.73","62.4","6.53"
"96","XH808A417010801273","375.23","1081.5","494.87","1426","13.13","15.6","30.9","32.3","2017/7/14","1940.97","727.3","182.43","20.13"
"97","XH808A417010801273","403.57","1162.93","518.03","1265.37","12","14.73","26.57","28.6","2017/7/12 5:00:00","1736.4","652.8","191.57","33.23"
"98","XH808A417010801273","374.68","1148.3","564.86","1354.25","16.23","18.34","27","47","2017/7/14 5:00:00","2287.95","925.27","238","25.82"
"99","XH808A417010801273","481.7","1772.17","-131.93","2526.9","29.67","35.7","29.5","25.1","2017/7/12 11:00:00","3501.23","1550.5","416.23","46.37"
"100","XH808A417010801273","407.43","1097.43","105.9","1759.57","17.2","20.9","34.53","24.23","2017/7/13 14:00:00","2290.67","907.4","226.97","22.07"
"101","XH808A417010801273","403.87","1112.67","-0.3","1640","6.57","7.93","35","13.87","2017/7/10 17:00:00","1115.3","339.9","93.43","15.6"
"102","XH808A417010801273","349.23","713.73","408.3","1293.6","12.3","14.6","34","20.5","2017/7/12 21:00:00","1843.77","681","157.9","14.83"
"103","XH808A417010801273","388.28","1051.52","41.76","1900.93","15.79","19.41","35","24","2017/7/14 14:00:00","2095.86","817.03","200.83","20.9"
"104","XH808A417010801273","366.93","701.2","193.53","1395.1","10.63","13.47","37.2","14.63","2017/7/13 18:00:00","1563.2","541.63","139.7","15.97"
"105","XH808A417010801273","427.37","1166.33","50.13","1845.77","9.97","12.1","34.37","18.83","2017/7/12 13:00:00","1543.97","541.47","136.33","17.83"
"106","XH808A417010801273","400.13","890.77","64.6","1446.63","7.57","10.8","35.87","13.5","2017/7/10 16:00:00","1165.33","383.63","128.7","28.87"
"107","XH808A417010801273","443.3","1353.5","-38.1","2091.3","16.43","19.9","32.4","21.53","2017/7/12 12:00:00","2174.27","851.67","226.47","28.4"
"108","XH808A417010801273","417.83","894.37","65.37","1627","6.97","8.67","36.9","12.77","2017/7/12 15:00:00","1176.33","366.4","95.4","11.67"
"109","XH808A417010801273","386","1189.77","398.1","1327.33","7.93","9.1","26","26.13","2017/7/10 4:00:00","1408.83","461.93","118.63","17"
"110","XH808A417010801273","409.57","1062.57","124","1655.07","7.03","7.9","31.97","19.83","2017/7/10 12:00:00","1241.63","397.7","104.8","14.57"
"111","XH808A417010801273","365.1","651.63","254.23","1330.03","8.83","10.57","36.9","14.63","2017/7/12 19:00:00","1341.57","436.43","111.07","12.57"
"112","XH808A417010801273","350.8","954","390.53","1349.9","3.27","3.37","27.3","22.77","2017/7/10 2:00:00","834.43","196","50.03","6"
"113","XH808A417010801273","394.63","1151.8","509.7","1466.53","27.37","31.4","28.2","44.37","2017/7/13 2:00:00","3344.17","1453.03","368.83","34.03"
"114","XH808A417010801273","358.73","1167.93","310.23","1764.53","6.37","7.47","25.1","45.6","2017/7/14 18:00:00","1154.97","369.13","103.07","15.77"
"115","XH808A417010801273","356.43","742.87","160.9","1474.83","12.4","15.47","37.07","15.8","2017/7/13 17:00:00","1693.9","618.03","157.33","15.93"
"116","XH808A417010801273","453.47","1377.7","452.7","1542.7","25.37","28.57","25.23","50.87","2017/7/14 8:00:00","3263.8","1431","365.83","39.17"
"117","XH808A417010801273","469.53","1389.7","388.7","1671","26.6","30.73","27.87","44.07","2017/7/14 10:00:00","3356.6","1465.2","369.47","39.9"
"118","XH808A417010801273","428.27","1351.3","-109.07","1929.4","16.93","21.37","35.67","13.1","2017/7/11 20:00:00","2253.73","884.27","217.4","25.83"
"119","XH808A417010801273","406.93","1032.2","111.87","1704.03","7.23","8.9","35.6","15.77","2017/7/12 14:00:00","1374.7","437.13","105.77","13"
"120","XH808A417010801273","378.67","993.73","470.03","1376.07","12.5","15.1","33.73","23.4","2017/7/13 22:00:00","1829.13","668.63","169.87","18"
"121","XH808A417010801273","442.77","1279","96.23","1917.17","24.53","29.83","32.87","30.6","2017/7/13 13:00:00","3006.47","1271.8","329.37","31.7"
"122","XH808A417010801273","374.23","576.23","220.57","1294.13","5.57","6.83","38","9.8","2017/7/12 16:00:00","1037.5","297.9","79.03","10.6"
"123","XH808A417010801273","368.23","642.83","131.6","1380.27","7.67","9.63","38","13.03","2017/7/12 18:00:00","1235.73","391.27","102.67","13.53"
"124","XH808A417010801273","395.63","1150.97","544.57","1375.37","26.8","30.1","25","50.13","2017/7/13 6:00:00","3330","1462.47","385.17","38.83"
"125","XH808A417010801273","396.23","1153.83","477.57","1485.7","41.9","53.07","29.4","41","2017/7/13 1:00:00","3903.43","1736.43","468.43","61.03"
"126","XH808A417010801273","487.8","1432.17","324.13","1609.83","14.67","17.6","25.87","34.47","2017/7/12 9:00:00","2051.03","808.83","223.83","34.53"
"127","XH808A417010801273","378.77","1205.53","422.37","1317.9","6.9","8.57","25.2","27.67","2017/7/10 5:00:00","1274.17","404.7","112.87","21.23"
"128","XH808A417010801273","482.17","1359.77","475.03","1559.33","26.73","30.03","26.4","48.8","2017/7/14 9:00:00","3402.13","1486.73","374.17","37.33"
"129","XH808A417010801273","406","1405.63","213.7","1781.7","12.87","16.3","27.67","36.87","2017/7/14 20:00:00","1852.03","726.27","215.23","39.77"
"130","XH808A417010801273","399.97","1193.8","178.8","1710.53","9.63","11.2","31.87","23.23","2017/8/14 15:00:00","1584","530.17","125.7","15.07"
"131","XH808A417010801273","442.07","1447.13","289.23","1797.77","25.27","28.13","24.1","52.27","2017/8/12 14:00:00","3383.87","1454.67","352.7","34"
"132","XH808A417010801273","368.17","1240","353.13","1560.13","9.57","10.9","30.23","25.03","2017/8/14 20:00:00","1551.2","541.8","132.2","15.63"
"133","XH808A417010801273","457.88","1716.81","-63.13","2166.56","38.69","43.38","24.94","45.25","2017/8/14 11:00:00","4790.75","2174.56","531.44","51.88"
"134","XH808A417010801273","434.37","1447.83","77.13","1878.77","20.37","22.7","26.83","37.67","2017/8/14 12:00:00","2788.87","1151.07","281.97","29.83"
"135","XH808A417010801273","384.4","1161.63","303.23","1593.63","7.67","8.83","32","22.53","2017/8/14 18:00:00","1373.67","443.63","105.27","13.53"
"136","XH808A417010801273","377.83","1272.43","268.67","1662","8.2","9.23","31.3","23.13","2017/8/14 19:00:00","1451.9","477.57","116.7","14.2"
"137","XH808A417010801273","487.63","1505.27","365.57","1651.9","17.37","21.93","22","48.23","2017/8/11 9:00:00","2323.53","953.4","280.83","51.27"
"138","XH808A417010801273","404.97","1296.47","402.2","1543.03","8.93","10.9","27.93","31.17","2017/8/11 21:00:00","1461","504.43","136.83","22.8"
"139","XH808A417010801273","391.2","1274.27","78.6","1858.3","8.7","9.73","30.9","25.13","2017/8/11 14:00:00","1427.17","477.03","119.7","15.2"
"140","XH808A417010801273","386","1138.83","271.4","1578.8","8.03","9.13","32.63","22.3","2017/8/14 16:00:00","1431.53","453.93","105.5","11.9"
"141","XH808A417010801273","422.3","1317.37","465.1","1477.87","10.07","12","25","44.63","2017/8/12","1633.8","583.67","158.07","23.87"
"142","XH808A417010801273","434.47","1408.93","352.5","1679.53","17.43","19.93","22.57","49.33","2017/8/12 10:00:00","2431.73","980.7","249.67","28.27"
