"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPROPM25IN1479A","0.4","55","4","95","42","219","2017/8/3 22:00:00"
"2","XHPROPM25IN1479A","0.3","33","5","106","47","183","2017/8/3 23:00:00"
"3","XHPROPM25IN1479A","1","36","11","8","37","112","2017/8/3 3:00:00"
"4","XHPROPM25IN1479A","1.1","46","36","70","29","142","2017/8/2 9:00:00"
"5","XHPROPM25IN1479A","1.1","35","13","175","53","126","2017/8/2 12:00:00"
"6","XHPROPM25IN1479A","1.2","49","12","2","37","126","2017/8/3 1:00:00"
"7","XHPROPM25IN1479A","1.3","49","23","106","79","147","2017/8/2 10:00:00"
"8","XHPROPM25IN1479A","1.1","47","18","139","61","126","2017/8/2 11:00:00"
"9","XHPROPM25IN1479A","1","36","15","14","42","133","2017/8/3 2:00:00"
"10","XHPROPM25IN1479A","1","39","10","184","48","91","2017/8/2 13:00:00"
"11","XHPROPM25IN1479A","0.9","35","10","6","32","92","2017/8/3 4:00:00"
"12","XHPROPM25IN1479A","1.4","41","12","1","26","148","2017/8/3 8:00:00"
"13","XHPROPM25IN1479A","1","36","9","5","18","97","2017/8/3 6:00:00"
"14","XHPROPM25IN1479A","1.3","46","26","38","28","102","2017/8/3 10:00:00"
"15","XHPROPM25IN1479A","1.3","40","11","1","20","109","2017/8/3 7:00:00"
"16","XHPROPM25IN1479A","1.3","46","12","15","25","151","2017/8/3 9:00:00"
"17","XHPROPM25IN1479A","0.8","33","9","9","30","83","2017/8/3 5:00:00"
"18","XHPROPM25IN1479A","0.6","52","15","137","21","67","2017/8/3 13:00:00"
"19","XHPROPM25IN1479A","0.4","74","3","106","19","93","2017/8/3 19:00:00"
"20","XHPROPM25IN1479A","0.8","43","28","98","16","110","2017/8/3 11:00:00"
"21","XHPROPM25IN1479A","0.6","58","7","139","16","64","2017/8/3 14:00:00"
"22","XHPROPM25IN1479A","0.5","57","5","144","13","57","2017/8/3 15:00:00"
"23","XHPROPM25IN1479A","0.5","55","4","136","9","55","2017/8/3 16:00:00"
"24","XHPROPM25IN1479A","0.4","52","3","137","9","83","2017/8/3 17:00:00"
"25","XHPROPM25IN1479A","0.7","48","22","120","15","70","2017/8/3 12:00:00"
"26","XHPROPM25IN1479A","0.4","66","3","120","7","104","2017/8/3 18:00:00"
"27","XHPROPM25IN1479A","0.5","73","4","102","21","83","2017/8/3 20:00:00"
"28","XHPROPM25IN1479A","0.5","62","4","100","34","127","2017/8/3 21:00:00"
"29","XHPROPM25IN1479A","0.9","26","7","11","24","61","2017/8/2 7:00:00"
"30","XHPROPM25IN1479A","1.2","62","10","2","35","114","2017/8/3"
"31","XHPROPM25IN1479A","0.4","52","3","156","12","39","2017/8/2 18:00:00"
"32","XHPROPM25IN1479A","0.5","33","4","179","19","37","2017/8/2 16:00:00"
"33","XHPROPM25IN1479A","0.8","35","6","174","45","76","2017/8/2 14:00:00"
"34","XHPROPM25IN1479A","0.5","69","4","106","7","32","2017/8/2 20:00:00"
"35","XHPROPM25IN1479A","1.9","80","13","1","41","110","2017/8/2 23:00:00"
"36","XHPROPM25IN1479A","0.4","60","3","134","9","33","2017/8/2 19:00:00"
"37","XHPROPM25IN1479A","2","89","13","2","25","75","2017/8/2 22:00:00"
"38","XHPROPM25IN1479A","0.5","44","3","172","17","39","2017/8/2 17:00:00"
"39","XHPROPM25IN1479A","0.7","30","5","185","28","32","2017/8/2 15:00:00"
"40","XHPROPM25IN1479A","0.9","76","9","75","8","75","2017/8/2 21:00:00"
"41","XHPROPM25IN1479A","0.8","35","14","71","27","58","2017/8/1 21:00:00"
"42","XHPROPM25IN1479A","0.9","33","12","39","13","90","2017/8/1 23:00:00"
"43","XHPROPM25IN1479A","1","29","7","8","18","66","2017/7/30 3:00:00"
"44","XHPROPM25IN1479A","1.4","34","15","30","17","123","2017/7/30 10:00:00"
"45","XHPROPM25IN1479A","0","0","0","0","0","0","2017/7/31 8:00:00"
"46","XHPROPM25IN1479A","0.7","31","14","11","29","107","2017/8/2 4:00:00"
"47","XHPROPM25IN1479A","0.9","31","7","3","20","85","2017/7/30 4:00:00"
"48","XHPROPM25IN1479A","0.6","61","4","118","20","46","2017/7/30 21:00:00"
"49","XHPROPM25IN1479A","0","0","0","0","0","0","2017/7/31 6:00:00"
"50","XHPROPM25IN1479A","0.4","50","4","128","98","532","2017/7/31 23:00:00"
"51","XHPROPM25IN1479A","1","37","4","46","18","0","2017/8/1 19:00:00"
"52","XHPROPM25IN1479A","1","43","7","85","33","54","2017/7/29 19:00:00"
"53","XHPROPM25IN1479A","1.3","29","14","4","15","128","2017/7/30 8:00:00"
"54","XHPROPM25IN1479A","0.4","49","2","201","11","39","2017/7/31 17:00:00"
"55","XHPROPM25IN1479A","0.6","67","3","132","24","89","2017/7/31 21:00:00"
"56","XHPROPM25IN1479A","0.8","27","3","73","16","57","2017/8/1 17:00:00"
"57","XHPROPM25IN1479A","0.8","28","11","20","45","97","2017/8/2 5:00:00"
"58","XHPROPM25IN1479A","0.8","24","7","38","19","62","2017/7/30 2:00:00"
"59","XHPROPM25IN1479A","0.5","67","4","170","11","30","2017/7/30 19:00:00"
"60","XHPROPM25IN1479A","0","0","0","0","0","0","2017/7/31 4:00:00"
"61","XHPROPM25IN1479A","0.6","39","4","224","15","52","2017/7/31 15:00:00"
"62","XHPROPM25IN1479A","0.5","20","11","86","31","197","2017/8/1 9:00:00"
"63","XHPROPM25IN1479A","0.5","21","4","113","76","129","2017/8/1 11:00:00"
"64","XHPROPM25IN1479A","0.6","55","6","156","7","34","2017/7/29 17:00:00"
"65","XHPROPM25IN1479A","0.5","55","4","214","29","39","2017/7/30 15:00:00"
"66","XHPROPM25IN1479A","0.4","61","3","223","21","31","2017/7/30 17:00:00"
"67","XHPROPM25IN1479A","0.5","57","2","157","8","41","2017/7/31 19:00:00"
"68","XHPROPM25IN1479A","0.6","38","3","94","20","47","2017/8/1 15:00:00"
"69","XHPROPM25IN1479A","0.8","33","8","17","41","66","2017/8/2 2:00:00"
"70","XHPROPM25IN1479A","0.7","64","9","214","16","46","2017/7/29 15:00:00"
"71","XHPROPM25IN1479A","0","0","0","0","0","0","2017/7/30"
"72","XHPROPM25IN1479A","0.5","32","7","76","19","55","2017/7/31 2:00:00"
"73","XHPROPM25IN1479A","0.6","30","4","207","8","38","2017/7/31 13:00:00"
"74","XHPROPM25IN1479A","0.6","14","4","119","39","81","2017/8/1 4:00:00"
"75","XHPROPM25IN1479A","1","72","13","187","18","93","2017/7/30 13:00:00"
"76","XHPROPM25IN1479A","0.8","28","6","137","9","76","2017/7/31 11:00:00"
"77","XHPROPM25IN1479A","0.6","25","5","116","91","109","2017/8/1 2:00:00"
"78","XHPROPM25IN1479A","0.4","12","20","113","29","105","2017/8/1 6:00:00"
"79","XHPROPM25IN1479A","0.6","19","4","103","35","71","2017/8/1 13:00:00"
"80","XHPROPM25IN1479A","1","35","9","22","18","81","2017/8/2"
"81","XHPROPM25IN1479A","0.8","26","8","22","25","77","2017/8/2 6:00:00"
"82","XHPROPM25IN1479A","1","41","19","189","31","55","2017/7/29 13:00:00"
"83","XHPROPM25IN1479A","0","0","0","0","0","0","2017/7/29 22:00:00"
"84","XHPROPM25IN1479A","1.2","41","17","76","11","90","2017/7/30 11:00:00"
"85","XHPROPM25IN1479A","1","59","10","18","23","105","2017/7/31"
