"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A416102800769","407.93","893.4","185.37","1265.53","67.37","229.7","27.43","69.27","2017/7/11","3254.67","1350.8","315.23","40.03"
"2","XH808A416102800769","472.3","939.7","188.47","1285.57","36.23","111.97","30.23","59.8","2017/7/10 22:00:00","2147.2","758.13","139.07","18.13"
"3","XH808A416102800769","375.4","1157.53","-65.1","1674.33","26.3","95.53","38.47","45.63","2017/7/14 12:00:00","1200.87","409.53","89.13","12.5"
"4","XH808A416102800769","404.87","1075.2","57.13","1472.2","104.47","198.07","31","70.27","2017/7/11 22:00:00","7295.83","2552.87","290.87","22.67"
"5","XH808A416102800769","411.63","784.63","435.6","1022.57","110","177.9","28","80.17","2017/7/12 3:00:00","7924.97","2783.93","319.57","19.83"
"6","XH808A416102800769","332.77","1463.6","-1116.57","2021","37","66.3","38","57.27","2017/7/13 15:00:00","2488.67","802.93","65.57","4.6"
"7","XH808A416102800769","385.47","1550.63","-1175.87","2201.1","38.2","85.47","36.7","55.37","2017/7/11 17:00:00","2355.1","777.4","96.57","7.6"
"8","XH808A416102800769","619.97","743.4","467.6","1035.6","158.03","260.43","29","76.07","2017/7/15 4:00:00","11962.13","3850.1","439.93","27.07"
"9","XH808A416102800769","361.93","1502.6","-1102.53","2134.97","57.5","147.87","38.27","47.3","2017/7/11 13:00:00","2670.1","925.27","128.07","14.17"
"10","XH808A416102800769","444.1","1057.43","-65.43","1263.83","91.53","260.37","28.47","71.03","2017/7/14 4:00:00","5166.83","2007.3","370.47","48.4"
"11","XH808A416102800769","446.7","801.43","409.13","1038.63","42.17","69.93","29.8","73.87","2017/7/13 4:00:00","3410.8","1113.97","104","7.9"
"12","XH808A416102800769","403.13","1027.07","8.6","1399.57","52.23","94.73","32.27","64.07","2017/7/12 8:00:00","3693.27","1270.4","144.83","10"
"13","XH808A416102800769","557.63","798.17","360.87","1038.47","140.77","205.37","29.1","79.03","2017/7/14 2:00:00","10216.57","3519.07","385.1","17.4"
"14","XH808A416102800769","466.6","898.1","416.97","1164.4","22.2","62.97","28","61.93","2017/7/14 6:00:00","1565.13","522.03","95.2","11.2"
"15","XH808A416102800769","394.47","943.5","108.27","1280.47","37.47","81.47","32.6","67.53","2017/7/13 8:00:00","2797.23","920.87","97.87","10.3"
"16","XH808A416102800769","417","781.87","307.4","1064.07","85.1","277.87","25","77.97","2017/7/11 3:00:00","4398.1","1851.77","408.63","52.3"
"17","XH808A416102800769","373.43","1038.1","131.63","1384.6","91.3","119.67","30","73.27","2017/7/12 23:00:00","7012.83","2343.53","211.17","8.5"
"18","XH808A416102800769","450","866","278.93","1132.37","107.8","141.97","30","78.23","2017/7/14 1:00:00","8300.07","2755.93","269.27","10.9"
"19","XH808A416102800769","367.4","1478.3","-874.9","2133.37","35.83","115.13","41.23","39.77","2017/7/14 16:00:00","1594.83","543.57","93.03","12.37"
"20","XH808A416102800769","475.6","822.13","385.97","1140.8","102.13","151.3","29.27","75.4","2017/7/15","7997.7","2607.77","252.87","14.23"
"21","XH808A416102800769","404.27","944.27","183.53","1261.07","35.23","73.3","30.6","59.2","2017/7/10 9:00:00","2285.5","804.4","126.87","10.63"
"22","XH808A416102800769","438.8","734.37","363.57","972.3","89.53","260.83","24","80.3","2017/7/11 4:00:00","4799.5","1987.93","420.87","50.83"
"23","XH808A416102800769","389.77","965.97","126.93","1283.9","55","117.03","31.27","71.37","2017/7/13 21:00:00","4020.17","1326.5","143.3","13.23"
"24","XH808A416102800769","359.13","1511.23","-1190.1","2127.8","43.03","85.6","38.37","50.17","2017/7/11 15:00:00","2523.03","853.7","100.13","7.53"
"25","XH808A416102800769","405.4","1078.57","-347.27","1472.27","39.5","78.63","33.8","64.87","2017/7/13 9:00:00","2849.77","953.07","95.33","8.03"
"26","XH808A416102800769","347.17","1011.43","-158.03","1422","57.87","110.5","32.3","66.4","2017/7/14 21:00:00","4372.73","1393.57","142.83","12.23"
"27","XH808A416102800769","341.53","1368.97","-918.37","1967.6","36.13","74.77","39","45.63","2017/7/11 14:00:00","2054.93","659.13","75.87","5.4"
"28","XH808A416102800769","375.23","1439.83","-785","1960.97","70.6","112.6","34.1","64.83","2017/7/13 19:00:00","5295.23","1737.93","136.37","9.6"
"29","XH808A416102800769","305","1381.43","-647.8","1892.7","29.6","57.47","38.2","45.8","2017/7/10 14:00:00","1846.17","584.83","63.43","4.87"
"30","XH808A416102800769","434.13","1372.03","-559.57","1940.23","61.9","125.33","36.57","55.1","2017/7/11 11:00:00","3840.9","1304.57","145.17","10.53"
"31","XH808A416102800769","381","1247.4","-838.43","1697.4","38.1","71.2","35","62.1","2017/7/13 10:00:00","2681.63","898.33","82.77","6.5"
"32","XH808A416102800769","365.37","954.9","182.87","1300.9","85.83","154.9","29.87","74.4","2017/7/12","6436.5","2165.03","238.27","17.9"
"33","XH808A416102800769","362.97","922.53","178.77","1216.17","72.83","121.5","30","75.83","2017/7/13 23:00:00","5525.17","1864.8","198.33","13.77"
"34","XH808A416102800769","438.17","1208.53","-67.97","1707.93","51.6","98.03","35.6","53.6","2017/7/11 10:00:00","3176.93","1091.33","137.7","9.83"
"35","XH808A416102800769","615.63","736.5","433.63","1031.73","136.13","209.63","29","75.63","2017/7/15 2:00:00","10091.27","3401.27","378.6","19.8"
"36","XH808A416102800769","363.63","1263.9","-323.3","1710.5","53.27","87.53","33.07","66.47","2017/7/12 20:00:00","4130.47","1323.87","120.13","9.6"
"37","XH808A416102800769","388.57","1550.43","-859.43","2239.17","44.73","146.73","39.9","44.17","2017/7/14 17:00:00","2031.6","716.57","133.5","16.9"
"38","XH808A416102800769","475.87","1049.5","387.93","1493.7","73.73","201.5","33.93","55.83","2017/7/11 9:00:00","4131.67","1516.8","246.37","26.93"
"39","XH808A416102800769","372.23","984.6","145.63","1366.83","109.63","170.1","30.13","72.77","2017/7/11 23:00:00","8000.33","2724.37","277.57","15.47"
"40","XH808A416102800769","672.17","875.4","296.57","1169.23","96.97","159.27","27.03","67.9","2017/7/14 7:00:00","6631.93","2464.93","325.77","19.4"
"41","XH808A416102800769","330.83","1152.93","-56.7","1685","28.3","102.53","40.17","41.53","2017/7/14 13:00:00","1244.87","417.03","86.93","11.4"
"42","XH808A416102800769","466.2","730.27","474.6","984.7","122.47","297.97","26.9","76.2","2017/7/11 7:00:00","7254.1","2829.87","478.03","49.43"
"43","XH808A416102800769","285.13","1321.37","-515.53","1826.7","27.37","51.17","39.67","40.33","2017/7/10 15:00:00","1632.93","505.47","52.07","3.7"
"44","XH808A416102800769","330.97","1389.27","-557.3","1997.43","26.67","70.73","41.33","38.43","2017/7/14 15:00:00","1257.47","401.27","67.07","6.47"
"45","XH808A416102800769","356.67","1343.8","-978.87","1839","35.07","62.87","36","60","2017/7/13 11:00:00","2407.3","793.83","79.07","6.03"
"46","XH808A416102800769","360.07","1146.07","-106.4","1543.4","27.3","52.73","34.43","51.37","2017/7/10 11:00:00","1876.47","614.53","76.17","5.83"
"47","XH808A416102800769","449.17","946.7","-260.1","1179.23","102.87","149.5","26.93","81.8","2017/7/15 5:00:00","8202.27","2574","299.4","14.03"
"48","XH808A416102800769","279.87","1373","-687.43","1880.33","18.9","48.9","38.1","41.4","2017/7/10 18:00:00","1120.27","346.9","54.03","5.87"
"49","XH808A416102800769","382.93","1037.4","95","1405.93","92.93","147","31","71.6","2017/7/12 22:00:00","7009.2","2337.83","225.3","13.3"
"50","XH808A416102800769","410.13","895.67","20.67","1106.3","270.47","408.23","26","85.97","2017/7/9 22:00:00","14966.87","6453.63","1030.67","46.43"
"51","XH808A416102800769","489.7","809.57","249.7","1002.07","400.23","643.97","26","87.73","2017/7/10","20182.37","9329.73","1600.4","78.4"
"52","XH808A416102800769","460.23","634.37","515.03","767.37","85.83","137.97","24.07","79.73","2017/7/10 6:00:00","5626.73","2143.37","303.57","17.8"
"53","XH808A416102800769","608.03","1025","130.1","1388.17","39.4","129.4","31.63","54.23","2017/7/10 21:00:00","2207.7","810.6","165.67","22.33"
"54","XH808A416102800769","458.93","816.83","359.1","1059.27","46.33","73.9","29.37","74.17","2017/7/13 5:00:00","3709.87","1225.23","111.6","7.47"
"55","XH808A416102800769","454.17","714.47","431.17","931.97","129.2","410","24","81.43","2017/7/11 5:00:00","6341.27","2752.03","648.73","78.87"
"56","XH808A416102800769","455.73","683.03","446.57","841.83","363.1","574.87","25.13","89.93","2017/7/10 3:00:00","18453.9","8553.73","1459.97","68.03"
"57","XH808A416102800769","324.13","1068.17","36.63","1411.5","27.4","107.03","34.4","43.67","2017/7/10 20:00:00","1395.97","504.6","120.77","19.53"
"58","XH808A416102800769","290.8","1113.87","33.77","1569.57","26.6","99.6","37.63","40.03","2017/7/10 19:00:00","1197.13","425.77","97.23","13.77"
"59","XH808A416102800769","492.43","684.6","476.5","912.5","119.5","327.4","24.23","82.27","2017/7/11 6:00:00","6568.63","2659.77","543.3","60.2"
"60","XH808A416102800769","390.77","1536.97","-1089.83","2193.97","42.37","96.9","35.67","55.77","2017/7/11 18:00:00","2667.03","897.23","107.97","10.57"
"61","XH808A416102800769","390","806.47","340.63","1073.73","44.97","79.77","30.7","72.1","2017/7/13 7:00:00","3431.03","1152.8","121.67","9.5"
"62","XH808A416102800769","327.13","1370.2","-654","1859.37","34.7","66.83","37","49.6","2017/7/10 13:00:00","2161.6","717.4","81.37","5.4"
"63","XH808A416102800769","456.87","871.27","442.67","1225.83","97.83","231.3","30.7","65.07","2017/7/11 8:00:00","6032.53","2226.97","333.37","33.63"
"64","XH808A416102800769","353.23","1354.03","-943.77","1884.8","32.83","65.33","36.43","59.77","2017/7/12 17:00:00","2172.67","718.47","77.57","5.87"
"65","XH808A416102800769","532.93","826.17","253.33","1167.57","95.77","171.13","30.33","74.77","2017/7/14 23:00:00","7143.87","2364.43","258.8","19.87"
"66","XH808A416102800769","432.53","1047.2","-4.27","1404.3","32.17","60.3","32.4","55.6","2017/7/10 10:00:00","2218.73","752.4","99.53","7.17"
"67","XH808A416102800769","464.27","699.57","509.43","863.1","78.2","117.9","26.07","75.3","2017/7/10 7:00:00","5316.3","1955.43","261.83","13.53"
"68","XH808A416102800769","524","821.63","349.43","1120.07","112.87","184.3","29","74.4","2017/7/15 1:00:00","8360.93","2845.13","323.03","20.93"
"69","XH808A416102800769","356.17","1187.87","-411.63","1651.43","31.3","81.8","36.03","52.87","2017/7/12 10:00:00","1890.07","636.33","101.27","11.63"
"70","XH808A416102800769","397.47","883.37","220.7","1238.2","79.13","139.03","31.23","70.7","2017/7/14 22:00:00","6014.8","1966.9","204.37","15.67"
"71","XH808A416102800769","349.33","1163.73","-208.17","1567.3","50.8","95","32.43","68.27","2017/7/13 20:00:00","3918.7","1290.17","119.73","11.1"
"72","XH808A416102800769","419.8","1033.1","-426.37","1223.07","51.13","64.67","23.4","90.63","2017/7/15 6:00:00","5197.07","1374.7","152.2","6.27"
"73","XH808A416102800769","395.67","876.3","250.37","1151","53.17","103.13","28.47","65.9","2017/7/10 8:00:00","3463.1","1275.67","190.5","14.1"
