"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPRO1582A","1.052","41","13","85","45","77","2017/8/3 23:00:00"
"2","XHPRO1582A","1.188","45","12","91","40","61","2017/8/3 22:00:00"
"3","XHPRO1582A","0.813","29","10","24","49","92","2017/8/2 10:00:00"
"4","XHPRO1582A","0.638","11","10","40","37","43","2017/8/2 11:00:00"
"5","XHPRO1582A","0.642","7","10","49","20","48","2017/8/2 13:00:00"
"6","XHPRO1582A","0.728","16","11","96","15","16","2017/8/3 1:00:00"
"7","XHPRO1582A","0.721","37","11","54","14","8","2017/8/3 2:00:00"
"8","XHPRO1582A","0.702","10","11","38","7","8","2017/8/3 3:00:00"
"9","XHPRO1582A","0.626","7","10","46","25","45","2017/8/2 12:00:00"
"10","XHPRO1582A","1.144","20","10","19","53","102","2017/8/2 9:00:00"
"11","XHPRO1582A","0.706","10","11","50","3","5","2017/8/3 4:00:00"
"12","XHPRO1582A","1.673","21","14","68","5","18","2017/8/3 9:00:00"
"13","XHPRO1582A","1.202","13","11","60","2","6","2017/8/3 5:00:00"
"14","XHPRO1582A","1.497","27","13","50","12","5","2017/8/3 7:00:00"
"15","XHPRO1582A","1.163","22","13","57","11","9","2017/8/3 8:00:00"
"16","XHPRO1582A","1.368","18","15","83","15","19","2017/8/3 10:00:00"
"17","XHPRO1582A","1.17","22","11","51","13","6","2017/8/3 6:00:00"
"18","XHPRO1582A","1.426","18","16","93","16","21","2017/8/3 11:00:00"
"19","XHPRO1582A","0.852","9","12","116","16","18","2017/8/3 14:00:00"
"20","XHPRO1582A","0.856","10","12","128","17","13","2017/8/3 15:00:00"
"21","XHPRO1582A","1.192","13","15","99","16","15","2017/8/3 12:00:00"
"22","XHPRO1582A","0.861","10","12","137","22","22","2017/8/3 16:00:00"
"23","XHPRO1582A","1.028","16","12","136","21","32","2017/8/3 17:00:00"
"24","XHPRO1582A","2.203","21","12","152","13","42","2017/8/3 18:00:00"
"25","XHPRO1582A","1.118","39","11","116","42","69","2017/8/3 21:00:00"
"26","XHPRO1582A","1.356","35","12","145","26","50","2017/8/3 19:00:00"
"27","XHPRO1582A","0.87","10","13","107","12","20","2017/8/3 13:00:00"
"28","XHPRO1582A","1.168","50","11","114","33","80","2017/8/3 20:00:00"
"29","XHPRO1582A","2.342","36","11","7","78","114","2017/8/2 8:00:00"
"30","XHPRO1582A","0.668","7","10","50","18","41","2017/8/2 14:00:00"
"31","XHPRO1582A","1.284","34","10","48","31","68","2017/8/2 20:00:00"
"32","XHPRO1582A","3.475","59","11","5","45","134","2017/8/2 22:00:00"
"33","XHPRO1582A","1.262","29","10","36","36","103","2017/8/2 19:00:00"
"34","XHPRO1582A","0.714","12","10","44","23","41","2017/8/2 17:00:00"
"35","XHPRO1582A","0.695","8","10","47","13","42","2017/8/2 15:00:00"
"36","XHPRO1582A","1.283","33","10","40","34","70","2017/8/2 21:00:00"
"37","XHPRO1582A","0.821","18","12","46","17","27","2017/8/3"
"38","XHPRO1582A","1.256","25","11","19","34","51","2017/8/2 23:00:00"
"39","XHPRO1582A","0.729","15","10","43","24","47","2017/8/2 18:00:00"
"40","XHPRO1582A","0.699","11","10","43","9","45","2017/8/2 16:00:00"
"41","XHPRO1582A","0.744","27","9","13","28","37","2017/8/2 2:00:00"
"42","XHPRO1582A","1.092","17","15","167","44","89","2017/7/29 15:00:00"
