"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A417041402007","409.9","986.23","694.57","1240.3","56.2","67.77","13","97.37","2017/10/11 21:00:00","3310.83","1526.17","329.87","25.2"
"2","XH808A417041402007","415.17","1001","694.53","1284.93","55.87","62.9","15","94.03","2017/10/15 1:00:00","4579.97","1977.1","251.17","14.07"
"3","XH808A417041402007","414.9","966.21","651.48","1310.59","82.17","91.97","15","91.69","2017/10/15 7:00:00","5886.72","3141.52","366.31","19.14"
"4","XH808A417041402007","411.63","1165.13","557.7","1439.17","38.93","42.37","16.7","83.73","2017/10/15 17:00:00","4867.83","1928.07","95.67","8.6"
"5","XH808A417041402007","415.9","1121.1","617.9","1381.57","43.33","46.47","17","82.67","2017/10/15 18:00:00","5193.37","2102.13","100.23","7.6"
"6","XH808A417041402007","413.17","1001.87","676.1","1216.23","44","52.3","12","97.03","2017/10/12 7:00:00","2248.43","1156.93","259.23","13.77"
"7","XH808A417041402007","411.97","1010","664.77","1259.77","87.9","104.63","12.5","97.17","2017/10/11 22:00:00","4575.37","2285.03","516.23","31.23"
"8","XH808A417041402007","436.1","1146.3","596.13","1429.4","57.53","63","17","83.07","2017/10/15 21:00:00","5742.97","2454.93","202.57","13.37"
"9","XH808A417041402007","415.97","1083.67","572.03","1418.8","44.87","49.03","17","80.27","2017/10/15 15:00:00","5167.3","1930.8","157.13","12.67"
"10","XH808A417041402007","423.37","1163.8","623.73","1392.67","70.13","80.57","15.13","94.7","2017/10/14 23:00:00","5415.03","2495.2","345.23","26.03"
"11","XH808A417041402007","422.57","1065.6","672.7","1214.77","59.7","69.7","13.57","89.43","2017/10/13 9:00:00","4935.5","1918.57","284.23","23.93"
"12","XH808A417041402007","429.3","1044.27","667.63","1329.77","81.5","94.5","16","87.87","2017/10/15 23:00:00","6168.4","3079.47","407.7","36.27"
"13","XH808A417041402007","407.63","984.73","762.3","1200.03","44.97","51.37","14","94.9","2017/10/11 13:00:00","3572.27","1449.4","204.43","12.47"
"14","XH808A417041402007","416.27","927.4","632.2","1357.97","45.17","50.43","18.77","77.9","2017/10/14 11:00:00","4840.43","1731.97","213.07","21.07"
"15","XH808A417041402007","420.37","1044.7","723.47","1207.5","87.77","102.13","14","97.27","2017/10/11 16:00:00","5199.87","2566.33","492.63","29.47"
"16","XH808A417041402007","411.5","837.9","670.7","1268.43","25.93","27.47","20.87","71.47","2017/10/13 13:00:00","3437.6","908.53","119.77","9.6"
"17","XH808A417041402007","418.6","1084.97","628.3","1287.07","56.97","64","15.3","85.9","2017/10/13 10:00:00","5108.77","1908.1","261.1","16.27"
"18","XH808A417041402007","418.53","879.73","633.17","1375.87","45.27","52.4","20.2","74.7","2017/10/14 12:00:00","4810.93","1685.53","210.73","27.3"
"19","XH808A417041402007","439.5","1168.63","677.37","1432.47","69.03","77.37","16.9","85.83","2017/10/15 10:00:00","6053.8","2688.07","306.83","21.83"
"20","XH808A417041402007","410.9","909.63","640.2","1337.33","26.3","28.83","21","70.93","2017/10/13 14:00:00","3387.47","889.9","138.03","15.83"
"21","XH808A417041402007","419.73","996.03","626.83","1349.2","58.23","66.4","17.53","81.6","2017/10/14 10:00:00","5426.2","2173.9","266.47","22.9"
"22","XH808A417041402007","408.03","1033.17","617.6","1299.33","80.4","96.73","13","94.33","2017/10/12 11:00:00","4341.97","2150.4","468.5","33.97"
"23","XH808A417041402007","421.47","1097.57","693.1","1352.87","90.4","99.07","17","89.23","2017/10/14 19:00:00","6982.87","3777.77","451.6","18.83"
"24","XH808A417041402007","436.5","1191.17","544.27","1464.5","68.3","76.43","17","86.53","2017/10/15 11:00:00","6112.93","2745.03","294.13","22.37"
"25","XH808A417041402007","418.27","940.13","675.47","1295.3","44.07","47.3","17","81.07","2017/10/15 13:00:00","5153.67","2041.2","128.97","7.1"
"26","XH808A417041402007","432.73","1211.03","519.6","1455.77","75.37","84.43","16.07","88.73","2017/10/15 9:00:00","6252.7","2848.17","347.23","20.93"
"27","XH808A417041402007","417.33","1011.97","699.53","1261.77","67.93","78.17","16.33","86.27","2017/10/14 9:00:00","5507.03","2399.97","366.33","31.4"
"28","XH808A417041402007","413.1","1007.2","689.9","1262.77","49.1","58.63","13","97.17","2017/10/11 19:00:00","2688.17","1300.23","293.73","20.2"
"29","XH808A417041402007","422.8","1137.57","683.53","1385.23","84.7","92.23","17","88.47","2017/10/14 18:00:00","6740.27","3496.03","389","18.37"
"30","XH808A417041402007","424.47","1029.53","745.53","1219.33","82.7","93.43","15","88.03","2017/10/14","6598.47","3005.37","397.13","20.67"
"31","XH808A417041402007","419.6","1035","757.73","1073.4","47.2","54.83","11.37","95.6","2017/10/13 4:00:00","3705.4","1343.07","225.2","12.57"
"32","XH808A417041402007","416.2","1022.1","713.9","1226.7","61.97","72.03","13.3","96.67","2017/10/11 15:00:00","4111.87","1797.6","330.4","19.23"
"33","XH808A417041402007","422.27","1087.2","628.57","1248","48.33","57.17","12.2","97.1","2017/10/12 9:00:00","2495.9","1275.77","286.67","18.2"
"34","XH808A417041402007","413.1","943.4","649.33","1281.33","33.77","37.27","19.33","75.5","2017/10/13 12:00:00","4016.43","1203.7","153.37","15.33"
"35","XH808A417041402007","421.17","1082.63","745.6","1158.9","63.77","73.33","14","91.93","2017/10/12 21:00:00","4688.87","1946.77","327.5","21.37"
"36","XH808A417041402007","413.6","1028.8","751.5","1091.9","51.7","60","11.37","94.77","2017/10/13 7:00:00","4171.37","1537.2","239.5","13.97"
"37","XH808A417041402007","413.23","1053.1","741.17","1158.6","41.63","48.13","14","90.13","2017/10/12 20:00:00","3558","1252.53","217.53","15.97"
"38","XH808A417041402007","407.57","1014.23","625.33","1278.5","32","36.3","13.87","88.73","2017/10/12 13:00:00","2195.7","913.33","179.47","10.37"
"39","XH808A417041402007","419.13","962.13","673.37","1430.5","48.13","56.33","19.03","79.37","2017/10/14 14:00:00","4985.03","1852.53","247.23","32.5"
"40","XH808A417041402007","412.3","977.43","626.83","1280.07","32.87","37.4","15.13","85.47","2017/10/12 14:00:00","2498.57","970.1","184.1","11.8"
"41","XH808A417041402007","419.47","1020.7","780","1055.47","51.37","59.97","12","95.33","2017/10/13 3:00:00","4118.7","1541.4","237.8","13.9"
"42","XH808A417041402007","409.93","1029.93","749.6","1081.97","45.3","52.8","11","95.13","2017/10/13 6:00:00","3568.97","1261.33","216.37","12.03"
"43","XH808A417041402007","434.77","1047.13","762.67","1093.3","51.4","60.43","12","95.4","2017/10/13 2:00:00","3950.27","1495.5","252.77","16.8"
"44","XH808A417041402007","423.3","1042.87","768.7","1133.37","69.7","80.57","13.1","92.63","2017/10/12 22:00:00","5618.27","2177.63","334.47","20"
"45","XH808A417041402007","413.4","975.1","709.47","1204.57","99.6","119.83","13","98","2017/10/11 23:00:00","4868.53","2538.4","600.1","41.9"
"46","XH808A417041402007","416.47","949.1","636.7","1349.93","43.7","47.4","17","80.8","2017/10/15 14:00:00","5042.97","1973.27","134.6","8.5"
"47","XH808A417041402007","409.77","1051.87","571.83","1438.07","45.77","49.67","16.67","84.7","2017/10/15 16:00:00","5058.17","2182.07","129.27","8.47"
"48","XH808A417041402007","415.63","1047.6","621.43","1315.03","48","52.7","17.23","80.63","2017/10/13 11:00:00","4869.5","1676.9","219.8","14.27"
"49","XH808A417041402007","425.73","1101.47","630.07","1356.33","45.07","48.87","16.63","83.87","2017/10/15 19:00:00","5188.33","2153.2","117.87","8.7"
"50","XH808A417041402007","427.1","1022.83","648.63","1339.7","59.27","64.47","17","83.7","2017/10/15 12:00:00","5693.07","2477.93","226.17","12.37"
"51","XH808A417041402007","447.4","1102.23","620.8","1396.8","68.97","76.3","16.87","84.63","2017/10/15 22:00:00","6133.5","2913.63","286.7","16.63"
"52","XH808A417041402007","414.07","966.33","788.87","1137.47","75.73","88.17","14","90.57","2017/10/14 3:00:00","5540.37","2467.8","403.53","26.9"
"53","XH808A417041402007","537.23","1010.7","844.27","1069.87","97.13","122.83","12.33","97.97","2017/10/11 9:00:00","5745.9","2931.6","535.5","64.53"
"54","XH808A417041402007","412.43","1028.2","708.03","1233.4","66.6","77.77","13.33","97.3","2017/10/11 17:00:00","4166.47","1931.07","374.13","23.3"
"55","XH808A417041402007","410.57","957.03","784.3","1131.93","66.63","76.9","14","90.73","2017/10/14 5:00:00","5009.73","2172.37","346.37","21.4"
"56","XH808A417041402007","416.87","1043.2","682.93","1308.87","54.93","61.57","15","94.57","2017/10/15","4670.83","1981.03","239.9","14.17"
"57","XH808A417041402007","417.8","975.23","789.73","1142.63","88.43","102.2","14","90.07","2017/10/14 2:00:00","6457.17","2976.67","451.83","28.83"
"58","XH808A417041402007","418.07","1041.33","704.67","1230.03","67.27","78.13","15.03","89.5","2017/10/14 8:00:00","5198.63","2261.5","346.3","26.47"
"59","XH808A417041402007","424.67","1196.13","648.53","1448.43","82.37","93.77","17.63","89.07","2017/10/14 17:00:00","6580.63","3336.9","424.23","35.6"
"60","XH808A417041402007","425.03","1126.27","663.43","1338.63","70.23","79","15.73","85.47","2017/10/13 23:00:00","6238.5","2621.43","330.1","20.9"
"61","XH808A417041402007","427.63","1197.93","630.63","1383","64.2","71.73","16","84.87","2017/10/13 22:00:00","6140","2549.63","277.4","18.07"
"62","XH808A417041402007","413.37","957.93","744.1","1190.63","59.5","66.97","15","93.77","2017/10/15 4:00:00","4824.13","2198.7","266.4","14.43"
"63","XH808A417041402007","407.97","1024.27","733.3","1179.6","30.6","34.33","14.4","87.8","2017/10/12 19:00:00","2526.37","925.8","158.67","9.37"
"64","XH808A417041402007","406.67","973.57","687.47","1236.33","107","158.2","12.67","98.17","2017/10/12 2:00:00","4471.2","2547.7","837.2","175.07"
"65","XH808A417041402007","415.5","971.9","762.2","1146.33","62.67","71.87","14.93","90.03","2017/10/14 7:00:00","4873.8","2097","321.27","19.9"
"66","XH808A417041402007","428.8","995.5","729.07","1239.8","63.33","69.77","17","84.8","2017/10/16 1:00:00","5805.33","2597.37","246.03","13.93"
"67","XH808A417041402007","413.1","953.83","777.6","1144.53","65.3","75.23","14.2","91.57","2017/10/14 6:00:00","4927.73","2165.93","343.93","22.03"
"68","XH808A417041402007","404.03","921.03","697.67","1215.4","29.5","32.73","16.67","80.93","2017/10/12 17:00:00","2756.83","905.13","160.23","8.57"
"69","XH808A417041402007","405.07","954.2","734.07","1178.63","30.33","33.5","15.67","84.33","2017/10/12 18:00:00","3036.37","926.37","145.37","8.87"
"70","XH808A417041402007","414.83","969.03","727.03","1231.97","48.47","52.3","17","83.87","2017/10/16 2:00:00","5107.3","2248.33","154.67","8.3"
"71","XH808A417041402007","425.53","1176.67","713.5","1497.17","59.93","67.07","18.07","85.23","2017/10/14 15:00:00","5546.23","2379.57","293.87","23.13"
"72","XH808A417041402007","494.9","973.03","769.67","1235.83","53.43","58.63","17","85.2","2017/10/16 3:00:00","5279.23","2368.27","194.43","12.9"
"73","XH808A417041402007","420.4","1081.17","630.87","1419.33","39.53","47.13","19","74.13","2017/10/13 17:00:00","4300.67","1304","228.23","35.6"
"74","XH808A417041402007","583.03","993.7","881.33","1061.8","103.2","130.13","13","97.53","2017/10/11 10:00:00","5854.6","2946.2","573.4","59.83"
"75","XH808A417041402007","406.3","1023.43","588.83","1324.17","30.03","33.47","16.33","81.47","2017/10/12 15:00:00","2375.23","896.17","167","10.8"
"76","XH808A417041402007","430.23","1176.83","543.77","1436.77","64.9","72.7","15","90.7","2017/10/15 8:00:00","5465.97","2442.47","276.07","15.6"
"77","XH808A417041402007","411.8","971.07","677.63","1216","47.6","56.37","12","97.17","2017/10/12 6:00:00","2357.37","1237.3","282.6","16.3"
"78","XH808A417041402007","415.4","1046.53","674.4","1268.57","71.43","79.87","15","93.1","2017/10/15 6:00:00","5303.23","2720.53","316.37","16.1"
"79","XH808A417041402007","410","1000.57","741.63","1209.93","57.9","67.07","13.97","95.73","2017/10/11 14:00:00","4234.93","1808.9","289.8","19.93"
"80","XH808A417041402007","423.1","1181.07","618.07","1430.57","40.77","47.53","18.2","76.17","2017/10/13 18:00:00","4919.93","1451.97","203.13","29"
"81","XH808A417041402007","425.67","1163.6","685.7","1344.6","66.63","74.73","17","81.8","2017/10/13 20:00:00","6760.1","2780.33","268.77","23.13"
"82","XH808A417041402007","410.53","982.97","681.67","1220.97","44.23","51.67","12","97.53","2017/10/12 5:00:00","2214.13","1156.9","260.27","12.73"
"83","XH808A417041402007","427","1160.34","655.97","1387.24","90.76","101.48","16.03","91.14","2017/10/14 21:00:00","7022.1","3519.76","443.31","27.14"
"84","XH808A417041402007","411.57","1042.03","745.87","1091.47","47.5","55.27","11","95.37","2017/10/13 5:00:00","3894.3","1352.13","220.13","11.97"
"85","XH808A417041402007","421.2","1095.6","702.6","1318.3","47.37","52.97","17.33","78.33","2017/10/13 19:00:00","5537.5","1959.57","187.93","19.03"
"86","XH808A417041402007","420.6","1083.4","699.53","1324.63","82.7","91.97","16","92.37","2017/10/14 22:00:00","6564.5","3276.43","370.83","19.93"
"87","XH808A417041402007","408.8","1006","662.63","1255.27","76.27","90.43","12.73","97","2017/10/12 1:00:00","4116.23","2028.63","444.57","26.47"
"88","XH808A417041402007","420.37","997.13","772.73","1189.6","101.63","118.17","14.9","89.9","2017/10/14 1:00:00","7054.77","3408.73","544","39.1"
"89","XH808A417041402007","411.67","979.7","682.33","1225.57","47.17","55.83","12","97.8","2017/10/12 4:00:00","2369.67","1247.33","281.8","15.83"
"90","XH808A417041402007","440.43","1051.27","767.4","1091.9","56.9","65.9","12","94.83","2017/10/13 1:00:00","4727.83","1737.7","260.53","15.43"
"91","XH808A417041402007","421.6","998.17","719.53","1243.83","59.6","65.9","16.3","86.1","2017/10/16 6:00:00","5375.63","2493.93","229.97","13.87"
"92","XH808A417041402007","407.9","1006.97","631","1273.13","64.57","74.67","13","92.27","2017/10/12 12:00:00","3754.27","1791.6","365.77","17.13"
"93","XH808A417041402007","425.2","1050.67","672.67","1205","45.8","54.07","13","96.23","2017/10/12 10:00:00","2512.27","1241.13","273.13","18.43"
"94","XH808A417041402007","412.17","998.33","695.57","1278.83","56.63","61.1","16.97","86.27","2017/10/16 5:00:00","6934.4","2550.53","155.9","8.27"
"95","XH808A417041402007","409.1","998.57","683.6","1272.47","91.13","136.07","13","98.33","2017/10/11 20:00:00","4138.8","2228.2","892.2","224.3"
"96","XH808A417041402007","412.6","1028.5","677.33","1265.97","46.17","55.57","13","96.67","2017/10/11 18:00:00","2769.33","1265.27","271.33","21.63"
"97","XH808A417041402007","441.93","1021.93","742.57","1214.27","68.6","76.63","16","86.17","2017/10/16 7:00:00","5746.33","2732.27","291.4","18.3"
"98","XH808A417041402007","405.57","1022.03","622.13","1300.37","30.53","34.07","16.3","80.8","2017/10/12 16:00:00","2540.17","893.67","170.2","10.63"
"99","XH808A417041402007","461.57","1020.9","728.67","1259.53","75.17","82.93","16.67","85.97","2017/10/16","6403.87","2953.9","329.43","18.47"
"100","XH808A417041402007","441.57","1051.9","756.33","1118.23","62.13","71.8","12.9","94.03","2017/10/13","5262.17","1853.87","294.1","17.77"
"101","XH808A417041402007","463.47","1031.27","748.07","1216.63","69.37","78.7","16.67","82.97","2017/10/16 8:00:00","5853.5","2645.67","313.3","26.1"
"102","XH808A417041402007","433.8","1077.13","746.1","1147.63","65.17","75.47","13","93.5","2017/10/12 23:00:00","5110.37","1960.2","312.3","20.27"
"103","XH808A417041402007","411.83","976.17","717.4","1184.03","87.6","103.23","13","97.5","2017/10/12","4553.6","2307.37","515.6","28.43"
"104","XH808A417041402007","421.1","1117.13","652.13","1227.83","57.17","67.03","12.27","92.97","2017/10/13 8:00:00","4672.2","1738.73","268.53","19.3"
