"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPRO1193A","1.094","35","3","42","36","100","2017/8/3 23:00:00"
"2","XHPRO1193A","1.152","39","4","47","49","102","2017/8/3 22:00:00"
"3","XHPRO1193A","","","","23","","","2017/8/2 10:00:00"
"4","XHPRO1193A","0.649","15","9","","1","26","2017/8/2 11:00:00"
"5","XHPRO1193A","0.751","19","8","30","3","37","2017/8/2 13:00:00"
"6","XHPRO1193A","0.886","15","8","29","12","38","2017/8/3 1:00:00"
"7","XHPRO1193A","0.855","11","7","30","11","66","2017/8/3 2:00:00"
"8","XHPRO1193A","0.835","12","10","31","8","50","2017/8/3 3:00:00"
"9","XHPRO1193A","0.781","22","6","24","7","50","2017/8/2 12:00:00"
"10","XHPRO1193A","0.864","12","6","28","12","60","2017/8/3 4:00:00"
"11","XHPRO1193A","0.687","25","2","20","7","27","2017/8/2 9:00:00"
"12","XHPRO1193A","1.032","30","4","22","18","61","2017/8/3 9:00:00"
"13","XHPRO1193A","1.175","14","6","28","11","52","2017/8/3 5:00:00"
"14","XHPRO1193A","1.397","26","2","21","23","62","2017/8/3 7:00:00"
"15","XHPRO1193A","1.601","22","4","22","3","45","2017/8/3 6:00:00"
"16","XHPRO1193A","1.464","35","2","18","32","60","2017/8/3 8:00:00"
"17","XHPRO1193A","0.981","26","4","33","24","53","2017/8/3 10:00:00"
"18","XHPRO1193A","0.861","14","4","76","21","76","2017/8/3 13:00:00"
"19","XHPRO1193A","1.159","47","5","59","41","92","2017/8/3 20:00:00"
"20","XHPRO1193A","0.86","13","5","78","32","88","2017/8/3 14:00:00"
"21","XHPRO1193A","0.912","24","4","56","41","83","2017/8/3 11:00:00"
"22","XHPRO1193A","0.859","15","3","83","49","87","2017/8/3 15:00:00"
"23","XHPRO1193A","0.857","18","4","60","11","79","2017/8/3 12:00:00"
"24","XHPRO1193A","0.886","18","4","89","33","74","2017/8/3 16:00:00"
"25","XHPRO1193A","0.98","17","5","94","38","84","2017/8/3 17:00:00"
