"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082016050300141","410.2","587","732.27","592.77","31.97","34.73","27","99.27","2017/7/13 4:00:00","3866.07","1222.53","468.07","15.97"
"2","XH8082016050300141","398.87","1125.37","222.1","1222.97","35.63","44.83","34.47","70.43","2017/7/13 15:00:00","3952.73","1132.67","453.5","14.67"
"3","XH8082016050300141","384.9","704.57","556.13","559.83","22.83","24.17","29.33","89.83","2017/7/11 17:00:00","2207.47","645.33","354.37","3.53"
"4","XH8082016050300141","389.73","833.73","483.2","724.13","25.23","28.37","32.07","77.97","2017/7/11 13:00:00","2384.5","679.5","374.3","4.77"
"5","XH8082016050300141","406.1","632.83","691.77","690.13","32.5","35.73","27.47","95.77","2017/7/14 2:00:00","3823.3","1212.83","469.5","16.7"
"6","XH8082016050300141","388.6","466.23","849.9","405.23","25.1","26.3","28","94.23","2017/7/11 3:00:00","2558.07","785.13","399.8","7"
"7","XH8082016050300141","435.87","526.9","777.67","508.83","29.77","31.8","27.6","94.97","2017/7/12 8:00:00","3326.2","1050.83","453.1","13.33"
"8","XH8082016050300141","419.23","792.23","530.93","945.17","32.73","37.1","28.37","94.77","2017/7/12 23:00:00","3870.63","1201.13","463.97","17.3"
"9","XH8082016050300141","404.1","963.87","459.5","917.57","35.8","44.47","34.23","72.93","2017/7/14 12:00:00","3975.27","1178.27","461.57","16.4"
"10","XH8082016050300141","402.9","560.43","771.17","512.33","33.97","37.67","26.77","99.5","2017/7/14 6:00:00","4080.47","1347.83","492.83","20.3"
"11","XH8082016050300141","408.23","554.87","765.13","580.57","32.87","36.77","27","97.37","2017/7/14 4:00:00","4040.07","1283.6","480.3","18.53"
"12","XH8082016050300141","413.57","468.3","827.07","452.43","28.2","29.6","26.9","100.1","2017/7/12 3:00:00","3337.47","963.33","430.13","11.27"
"13","XH8082016050300141","396.07","644.87","715.73","508.93","23.87","25","29","88.4","2017/7/10 22:00:00","2270.6","686.9","378.17","4.63"
"14","XH8082016050300141","411.1","570.57","748.97","580.47","26.1","27.6","27.5","98.3","2017/7/11 22:00:00","2747.8","839.67","411.13","8.17"
"15","XH8082016050300141","391.77","484.83","834","415.27","25.23","26.33","28.5","91.5","2017/7/11","2544.43","773.23","397.87","6.37"
"16","XH8082016050300141","386.5","753.77","575.77","694.07","24.27","27.1","32.67","75.83","2017/7/11 15:00:00","2167.23","619.53","364.97","3.17"
"17","XH8082016050300141","396.93","793.17","608.43","692.67","26.57","29.97","33.4","76.57","2017/7/11 11:00:00","2535.43","731.83","388.33","5.33"
"18","XH8082016050300141","418.9","1018.07","282.8","1008.63","28.3","31.3","29.33","84.97","2017/7/13 19:00:00","3031.57","927.27","407.93","10.3"
"19","XH8082016050300141","387.33","443.1","845.37","387","25.57","27.17","28","95.53","2017/7/11 4:00:00","2595.47","794.23","402.2","8"
"20","XH8082016050300141","407.47","634.83","726.37","689.07","30.07","33.5","28","93.37","2017/7/14 1:00:00","3534.6","1105.67","446.73","16.13"
"21","XH8082016050300141","404.57","1145.23","127.1","1023.03","22.7","23","27","93.17","2017/7/14 16:00:00","2317.73","694.23","364.2","5.37"
"22","XH8082016050300141","400.2","538.87","745.83","510.93","25.57","26.47","27","99.63","2017/7/12","2747.9","844.7","402.57","8.67"
"23","XH8082016050300141","387.23","595.47","682.67","520.53","24.63","27.1","31.7","83.07","2017/7/10 14:00:00","2302.67","667.6","365.47","4.23"
"24","XH8082016050300141","410.97","683.63","758.8","623.03","28.27","31.83","32.4","79.4","2017/7/11 10:00:00","2773.03","814.53","405.23","7.07"
"25","XH8082016050300141","382.7","829.2","448.27","688.87","24","26.53","31.93","78.83","2017/7/11 14:00:00","2282.33","653.4","366.17","4.23"
"26","XH8082016050300141","444.37","675.83","773.47","694.77","39.97","48.7","31.9","84","2017/7/13 9:00:00","4894.5","1614.67","535","26.4"
"27","XH8082016050300141","433.07","713.53","741.77","760.93","39","48.43","33.43","79.23","2017/7/13 10:00:00","4396.33","1425.73","509.37","21.47"
"28","XH8082016050300141","411.2","734.43","677.27","775.23","28.27","30.77","29","87.3","2017/7/13 21:00:00","3094.77","951.13","416.57","10.03"
"29","XH8082016050300141","435.3","748.6","619.73","810.43","28.13","30.5","28","92.83","2017/7/14 21:00:00","3158.87","949.8","419.53","10.33"
"30","XH8082016050300141","406","676.73","675.03","706.9","29.27","32.23","28.1","91.2","2017/7/13 23:00:00","3280.3","1017.7","433.37","12.77"
"31","XH8082016050300141","424.5","576.63","791.27","527.93","26.87","29.4","30.6","86.2","2017/7/10 9:00:00","2660.33","816.6","411.77","7.9"
"32","XH8082016050300141","417.3","1110.73","292.07","1087.13","23.77","24.43","27.43","91.77","2017/7/14 17:00:00","2491.97","756.6","377.27","6.37"
"33","XH8082016050300141","386.8","676.07","641.8","587.7","25.93","28.77","33.1","78.93","2017/7/10 11:00:00","2437.33","707","380.53","5.33"
"34","XH8082016050300141","408.8","780.27","681.43","800.77","32.73","40.37","35.43","71.73","2017/7/13 11:00:00","3317.8","995.5","435.13","12.6"
"35","XH8082016050300141","419.8","573.2","748.03","567.7","35.83","40.67","26.63","99.3","2017/7/14 7:00:00","4549.4","1491.77","514.07","24.13"
"36","XH8082016050300141","425.63","566.53","816.87","559.6","30.7","33.7","27.23","96.7","2017/7/15 2:00:00","3660.03","1119.5","451.73","14.7"
"37","XH8082016050300141","407.4","489.5","806.03","479.8","33.57","36.8","27","96.53","2017/7/15 6:00:00","4187.27","1311.8","483.2","18.57"
"38","XH8082016050300141","408.07","529.1","769.23","517.1","25.5","26.7","27","98.47","2017/7/11 23:00:00","2716.73","831.53","408.77","7.47"
"39","XH8082016050300141","427.4","879","486.6","1008.97","30.87","35.3","30","87.43","2017/7/12 20:00:00","3417.67","1025.57","435.8","13.37"
"40","XH8082016050300141","389.8","764.2","436.1","744.17","20.8","20.97","25.97","94.8","2017/7/14 15:00:00","2135.07","633.63","339","3.57"
"41","XH8082016050300141","436.33","581.7","761.57","612.77","29.17","31.9","28","95","2017/7/15","3278.63","992.07","432.07","11.97"
"42","XH8082016050300141","451.97","595.47","838.77","572.63","31.87","36.23","31.03","85.57","2017/7/11 9:00:00","3457.53","1061.87","455.33","12.83"
"43","XH8082016050300141","409.7","531.63","775.73","513.47","31.93","34.53","27","97","2017/7/15 4:00:00","3821.53","1188.6","452.23","15.03"
"44","XH8082016050300141","403.73","648.03","659.6","693.63","32.63","35.93","27","98","2017/7/14 3:00:00","3954.1","1252.23","469.7","18.5"
"45","XH8082016050300141","399.07","1206.57","117","1225.9","39.5","49.07","33.3","74.6","2017/7/14 13:00:00","4697.17","1416.6","500.27","20.73"
"46","XH8082016050300141","408.93","464.07","806.67","431.6","30.43","33.1","27","97.3","2017/7/11 7:00:00","3517.87","1132.23","461.4","15.3"
"47","XH8082016050300141","407.17","506.27","789.83","494.2","33.57","37.13","27","96.67","2017/7/15 5:00:00","4229.57","1322.63","476.97","18.07"
"48","XH8082016050300141","418.1","676.5","714","669.8","25.8","28.23","30.17","87.9","2017/7/10 18:00:00","2489.37","739.37","390.67","5.97"
"49","XH8082016050300141","404.47","564.27","726","504","22.57","23.23","29","93.87","2017/7/10 15:00:00","2215.33","653.93","361.77","3.93"
