"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPROPM25IN1398A","1","27","20","29","19","24","2017/8/3 22:00:00"
"2","XHPROPM25IN1398A","1.1","41","26","20","20","31","2017/8/3 23:00:00"
"3","XHPROPM25IN1398A","1.2","43","21","32","33","35","2017/8/2 9:00:00"
"4","XHPROPM25IN1398A","0.9","40","18","","16","39","2017/8/3 4:00:00"
"5","XHPROPM25IN1398A","1.1","20","21","118","23","33","2017/8/2 12:00:00"
"6","XHPROPM25IN1398A","0.9","40","","15","13","17","2017/8/3 1:00:00"
"7","XHPROPM25IN1398A","1.1","32","17","67","26","35","2017/8/2 10:00:00"
"8","XHPROPM25IN1398A","1","31","20","88","30","58","2017/8/2 11:00:00"
"9","XHPROPM25IN1398A","0.8","10","10","128","19","47","2017/8/2 13:00:00"
"10","XHPROPM25IN1398A","0.9","","23","14","13","33","2017/8/3 2:00:00"
"11","XHPROPM25IN1398A","","36","21","20","14","36","2017/8/3 3:00:00"
"12","XHPROPM25IN1398A","1.1","48","39","6","19","61","2017/8/3 6:00:00"
"13","XHPROPM25IN1398A","1.3","48","64","11","37","66","2017/8/3 8:00:00"
"14","XHPROPM25IN1398A","1.2","39","48","30","36","101","2017/8/3 10:00:00"
"15","XHPROPM25IN1398A","1.4","43","65","20","42","83","2017/8/3 9:00:00"
"16","XHPROPM25IN1398A","1","45","25","8","15","40","2017/8/3 5:00:00"
"17","XHPROPM25IN1398A","1.1","46","53","8","23","68","2017/8/3 7:00:00"
"18","XHPROPM25IN1398A","1.1","35","36","43","35","63","2017/8/3 11:00:00"
"19","XHPROPM25IN1398A","1","24","26","76","32","87","2017/8/3 13:00:00"
"20","XHPROPM25IN1398A","1","21","22","98","35","55","2017/8/3 14:00:00"
"21","XHPROPM25IN1398A","0.9","22","20","98","28","40","2017/8/3 15:00:00"
"22","XHPROPM25IN1398A","1","33","21","34","18","23","2017/8/3 20:00:00"
"23","XHPROPM25IN1398A","1","30","21","31","18","26","2017/8/3 21:00:00"
"24","XHPROPM25IN1398A","0.8","17","8","73","16","78","2017/8/3 16:00:00"
"25","XHPROPM25IN1398A","1","29","23","58","29","75","2017/8/3 12:00:00"
"26","XHPROPM25IN1398A","0.9","33","10","52","20","26","2017/8/3 17:00:00"
"27","XHPROPM25IN1398A","1","41","22","39","20","","2017/8/3 18:00:00"
"28","XHPROPM25IN1398A","1","36","23","40","17","28","2017/8/3 19:00:00"
"29","XHPROPM25IN1398A","1.4","45","20","17","31","42","2017/8/2 8:00:00"
"30","XHPROPM25IN1398A","0.9","32","14","59","11","","2017/8/2 18:00:00"
"31","XHPROPM25IN1398A","0.8","12","8","92","12","120","2017/8/2 16:00:00"
"32","XHPROPM25IN1398A","0.8","10","9","130","21","30","2017/8/2 14:00:00"
"33","XHPROPM25IN1398A","0.9","33","16","39","9","28","2017/8/2 20:00:00"
"34","XHPROPM25IN1398A","0.9","35","15","22","12","28","2017/8/2 23:00:00"
"35","XHPROPM25IN1398A","0.9","27","13","35","8","17","2017/8/2 22:00:00"
"36","XHPROPM25IN1398A","0.9","32","20","51","10","19","2017/8/2 19:00:00"
"37","XHPROPM25IN1398A","0.7","17","7","83","10","43","2017/8/2 17:00:00"
"38","XHPROPM25IN1398A","0.8","12","9","134","21","","2017/8/2 15:00:00"
"39","XHPROPM25IN1398A","0.8","22","11","43","8","11","2017/8/2 21:00:00"
"40","XHPROPM25IN1398A","0.9","41","23","17","15","23","2017/8/3"
"41","XHPROPM25IN1398A","1","57","17","","47","76","2017/7/30 4:00:00"
"42","XHPROPM25IN1398A","1.1","22","10","93","36","47","2017/7/30 21:00:00"
"43","XHPROPM25IN1398A","1","29","16","73","42","58","2017/7/31 23:00:00"
"44","XHPROPM25IN1398A","0.9","18","7","96","22","159","2017/8/1 19:00:00"
"45","XHPROPM25IN1398A","1","57","40","9","27","56","2017/8/2 4:00:00"
"46","XHPROPM25IN1398A","1.1","42","20","60","38","89","2017/7/29 19:00:00"
"47","XHPROPM25IN1398A","1.1","36","15","47","57","57","2017/7/30 8:00:00"
"48","XHPROPM25IN1398A","1.4","45","15","45","38","50","2017/7/31 6:00:00"
"49","XHPROPM25IN1398A","1.1","20","8","156","60","86","2017/7/31 17:00:00"
"50","XHPROPM25IN1398A","1","23","11","93","43","46","2017/7/31 21:00:00"
"51","XHPROPM25IN1398A","1","56","28","6","28","59","2017/8/2 5:00:00"
"52","XHPROPM25IN1398A","1","","13","36","39","53","2017/7/30 2:00:00"
"53","XHPROPM25IN1398A","1.1","24","8","110","48","95","2017/7/30 19:00:00"
"54","XHPROPM25IN1398A","1","45","12","45","31","55","2017/7/31 4:00:00"
"55","XHPROPM25IN1398A","1.1","14","8","165","67","85","2017/7/31 15:00:00"
"56","XHPROPM25IN1398A","0.9","19","11","124","32","36","2017/8/1 11:00:00"
"57","XHPROPM25IN1398A","1","","7","150","40","89","2017/8/1 17:00:00"
"58","XHPROPM25IN1398A","0.9","20","8","107","41","87","2017/7/29 17:00:00"
"59","XHPROPM25IN1398A","1.2","22","8","130","58","107","2017/7/31 19:00:00"
"60","XHPROPM25IN1398A","1","33","25","59","36","36","2017/8/1 9:00:00"
"61","XHPROPM25IN1398A","1","17","11","179","39","59","2017/8/1 15:00:00"
"62","XHPROPM25IN1398A","1","42","14","26","27","58","2017/8/2 2:00:00"
"63","XHPROPM25IN1398A","0.9","12","8","148","54","65","2017/7/29 15:00:00"
"64","XHPROPM25IN1398A","1","47","11","26","36","59","2017/7/30"
"65","XHPROPM25IN1398A","1","16","8","125","52","68","2017/7/30 15:00:00"
"66","XHPROPM25IN1398A","1","15","7","131","50","84","2017/7/30 17:00:00"
"67","XHPROPM25IN1398A","1","37","9","62","34","","2017/7/31 2:00:00"
"68","XHPROPM25IN1398A","1.2","20","9","167","62","84","2017/7/31 13:00:00"
"69","XHPROPM25IN1398A","0.9","41","21","","35","56","2017/8/1 4:00:00"
"70","XHPROPM25IN1398A","1","16","10","154","55","80","2017/7/30 13:00:00"
"71","XHPROPM25IN1398A","0.9","15","9","149","31","54","2017/8/1 13:00:00"
"72","XHPROPM25IN1398A","1.1","47","19","35","25","61","2017/8/2"
"73","XHPROPM25IN1398A","1","19","9","163","58","91","2017/7/29 13:00:00"
"74","XHPROPM25IN1398A","1","42","11","42","41","63","2017/7/29 22:00:00"
"75","XHPROPM25IN1398A","1","43","9","68","35","44","2017/7/31"
"76","XHPROPM25IN1398A","1.2","48","13","56","41","55","2017/7/31 9:00:00"
"77","XHPROPM25IN1398A","1.6","27","13","131","62","100","2017/7/31 11:00:00"
"78","XHPROPM25IN1398A","0.9","","28","71","33","39","2017/8/1 2:00:00"
"79","XHPROPM25IN1398A","1","55","17","25","36","63","2017/8/1 6:00:00"
"80","XHPROPM25IN1398A","1","51","20","6","28","57","2017/8/2 6:00:00"
"81","XHPROPM25IN1398A","1.5","48","15","11","29","44","2017/8/2 7:00:00"
"82","XHPROPM25IN1398A","1","53","18","14","46","85","2017/7/30 5:00:00"
"83","XHPROPM25IN1398A","1.1","27","11","115","57","77","2017/7/30 11:00:00"
"84","XHPROPM25IN1398A","1","25","10","78","35","42","2017/8/1"
"85","XHPROPM25IN1398A","1.1","38","8","69","28","45","2017/8/1 20:00:00"
"86","XHPROPM25IN1398A","1.1","42","15","49","26","48","2017/8/1 22:00:00"
"87","XHPROPM25IN1398A","0.9","42","15","46","31","42","2017/7/29 20:00:00"
"88","XHPROPM25IN1398A","1.1","35","13","57","55","58","2017/7/30 9:00:00"
"89","XHPROPM25IN1398A","1","21","10","95","32","36","2017/7/30 22:00:00"
"90","XHPROPM25IN1398A","1.5","56","16","33","40","58","2017/7/31 7:00:00"
"91","XHPROPM25IN1398A","","42","16","38","44","53","2017/7/30 3:00:00"
"92","XHPROPM25IN1398A","1.1","26","8","95","45","80","2017/7/30 20:00:00"
"93","XHPROPM25IN1398A","1","60","14","25","34","55","2017/7/31 5:00:00"
"94","XHPROPM25IN1398A","1","27","27","80","46","56","2017/7/31 22:00:00"
"95","XHPROPM25IN1398A","0.9","21","7","120","34","79","2017/8/1 18:00:00"
"96","XHPROPM25IN1398A","1","31","10","86","39","59","2017/7/29 18:00:00"
"97","XHPROPM25IN1398A","1","38","18","37","53","53","2017/7/30 7:00:00"
"98","XHPROPM25IN1398A","1.1","19","8","161","64","95","2017/7/31 16:00:00"
"99","XHPROPM25IN1398A","1.1","23","10","105","53","99","2017/7/31 20:00:00"
"100","XHPROPM25IN1398A","1","26","22","89","33","45","2017/8/1 10:00:00"
"101","XHPROPM25IN1398A","0.9","50","","23","35","35","2017/7/30 1:00:00"
"102","XHPROPM25IN1398A","1","14","8","135","50","70","2017/7/30 16:00:00"
"103","XHPROPM25IN1398A","1.1","17","7","128","49","88","2017/7/30 18:00:00"
"104","XHPROPM25IN1398A","1","47","10","47","32","42","2017/7/31 3:00:00"
"105","XHPROPM25IN1398A","1.1","17","8","160","65","102","2017/7/31 14:00:00"
"106","XHPROPM25IN1398A","1.1","41","43","36","41","52","2017/8/1 8:00:00"
"107","XHPROPM25IN1398A","1","19","10","179","42","54","2017/8/1 16:00:00"
"108","XHPROPM25IN1398A","1","58","29","11","28","51","2017/8/2 3:00:00"
"109","XHPROPM25IN1398A","0.9","17","7","124","48","88","2017/7/29 16:00:00"
"110","XHPROPM25IN1398A","1","13","8","141","52","54","2017/7/30 14:00:00"
"111","XHPROPM25IN1398A","1.1","20","8","145","57","87","2017/7/31 18:00:00"
"112","XHPROPM25IN1398A","0.9","13","11","160","33","55","2017/8/1 14:00:00"
