"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082016072000459","237","1914.4","29.97","744.9","42.1","54.4","40.47","52.47","2017/7/13 15:00:00","5999.73","1918.7","244.53","14.7"
"2","XH8082016072000459","243.67","1649.63","93.73","670.67","19.9","30.5","30.47","56.2","2017/7/10 22:00:00","2431.27","855.23","151.4","16.1"
"3","XH8082016072000459","176.77","2524.2","26.87","1099.1","40.6","54.5","42","43.97","2017/7/11 17:00:00","5668.2","1811.17","241.33","17.13"
"4","XH8082016072000459","238.87","1821.77","27.87","963.37","23.83","35.47","39.17","43.67","2017/7/14 12:00:00","3156.43","1022.67","164.47","14.93"
"5","XH8082016072000459","287.7","934.33","478.37","559.03","28.17","61.87","31.53","58.27","2017/7/14 2:00:00","3002.7","1155.43","257.77","48.47"
"6","XH8082016072000459","310.6","885","539.17","541.43","53.67","69.73","26.13","73.5","2017/7/11 3:00:00","5958.63","2359.17","362.83","23.8"
"7","XH8082016072000459","319.17","1393.73","144.13","694.63","63.53","81.43","29.53","79.83","2017/7/12 3:00:00","7162.8","2843.73","420.23","25.6"
"8","XH8082016072000459","300.2","861.3","498.7","547.97","30.83","64.77","29","65.27","2017/7/14 4:00:00","2948.23","1209.37","287","46.63"
"9","XH8082016072000459","312.53","1120.73","380.4","443.4","60.4","76.83","28.37","82.2","2017/7/13 4:00:00","7129.47","2739.47","386.57","23.47"
"10","XH8082016072000459","306.7","877.43","435.5","552.77","16.5","35.23","28","62.83","2017/7/14 6:00:00","1754.73","675.73","159.17","26.57"
"11","XH8082016072000459","329.83","1069.93","389.67","565.03","70.43","87.67","30.73","80.07","2017/7/13 8:00:00","8108.5","3174.5","461.13","26.5"
"12","XH8082016072000459","272.47","2823.33","27.13","1133.07","46.83","62.5","39.6","48.8","2017/7/11 13:00:00","6089.53","2107.9","295.57","19.4"
"13","XH8082016072000459","327.77","1226.4","243.67","613.87","66.63","85.37","30.23","79.57","2017/7/12 8:00:00","7320.2","2977.03","449.13","25.77"
"14","XH8082016072000459","272.47","1431.27","309.6","622.67","27.57","44.57","27.53","72.1","2017/7/11 22:00:00","2967.57","1135.1","206.33","23.6"
"15","XH8082016072000459","290.23","1338.17","257.8","588.7","66.43","82.83","31.13","76.23","2017/7/12 23:00:00","7985.9","3037.67","414.1","22.9"
"16","XH8082016072000459","282.2","1002.87","459.57","646.7","43.97","66.77","28.33","64.73","2017/7/11","4816.07","1855.67","328.5","32.03"
"17","XH8082016072000459","331.9","1258.37","286.97","851.47","20.87","29.77","30.67","59.23","2017/7/10 9:00:00","2531.43","918.2","153.63","13.83"
"18","XH8082016072000459","213.57","2718.3","27.2","951.5","30.97","43.1","41.37","43.63","2017/7/11 15:00:00","4336.4","1375.93","194.6","14.63"
"19","XH8082016072000459","306.9","1578.43","43.53","767.33","44.67","57.37","35.27","67.13","2017/7/13 10:00:00","5769.13","2012.63","273.93","17"
"20","XH8082016072000459","286.37","1111.97","443.6","590.73","35.47","47.53","33","71.87","2017/7/13 23:00:00","4676.33","1591.3","226.73","18.33"
"21","XH8082016072000459","201.67","1485.5","160.2","710.7","26.03","40.13","33","55.73","2017/7/14 21:00:00","3322.87","1141.7","184.5","20.33"
