"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPRO1073A","0.577","17","8","89","30","34","2017/8/2 12:00:00"
"2","XHPRO1073A","0.528","18","8","81","46","47","2017/8/2 17:00:00"
"3","XHPRO1073A","0.628","17","6","68","29","12","2017/8/2 21:00:00"
"4","XHPRO1073A","0.859","39","10","109","39","59","2017/8/3 22:00:00"
"5","XHPRO1073A","1.182","29","24","88","48","40","2017/8/1 17:00:00"
"6","XHPRO1073A","0.576","29","18","56","36","37","2017/8/1 19:00:00"
"7","XHPRO1073A","0.546","25","15","55","28","43","2017/8/1 20:00:00"
"8","XHPRO1073A","0.454","24","10","134","45","59","2017/7/31 15:00:00"
"9","XHPRO1073A","0.54","16","9","106","29","31","2017/8/1 14:00:00"
"10","XHPRO1073A","0.963","43","17","83","29","66","2017/8/3 23:00:00"
"11","XHPRO1073A","0.568","33","8","78","17","24","2017/7/29 16:00:00"
"12","XHPRO1073A","0.858","73","10","4","44","59","2017/7/30 1:00:00"
"13","XHPRO1073A","1.036","33","8","122","75","141","2017/7/30 19:00:00"
"14","XHPRO1073A","0.767","69","10","6","40","50","2017/7/30 4:00:00"
"15","XHPRO1073A","1.307","45","14","62","125","143","2017/7/31 7:00:00"
"16","XHPRO1073A","0.503","27","8","41","20","43","2017/8/1 23:00:00"
"17","XHPRO1073A","1.113","28","11","138","65","84","2017/7/31 13:00:00"
"18","XHPRO1073A","1.159","33","26","124","102","99","2017/7/30 12:00:00"
"19","XHPRO1073A","0.903","39","11","8","46","64","2017/8/1 5:00:00"
"20","XHPRO1073A","0.903","43","8","47","30","44","2017/7/29 21:00:00"
"21","XHPRO1073A","1.205","53","8","51","109","114","2017/7/31"
"22","XHPRO1073A","0.605","11","8","153","20","19","2017/8/3 17:00:00"
"23","XHPRO1073A","0.82","17","9","157","22","26","2017/8/3 18:00:00"
"24","XHPRO1073A","0.542","18","10","107","35","32","2017/8/1 15:00:00"
"25","XHPRO1073A","0.885","59","9","88","32","78","2017/8/3 20:00:00"
"26","XHPRO1073A","0.872","59","12","25","50","66","2017/7/30 7:00:00"
"27","XHPRO1073A","1.006","36","9","41","61","79","2017/8/1"
"28","XHPRO1073A","1.427","44","9","44","97","132","2017/7/31 6:00:00"
"29","XHPRO1073A","0.537","14","9","81","33","30","2017/8/1 13:00:00"
"30","XHPRO1073A","1.288","35","18","83","98","127","2017/7/31 8:00:00"
"31","XHPRO1073A","1.248","27","13","101","93","105","2017/7/31 11:00:00"
"32","XHPRO1073A","0.567","18","8","103","27","45","2017/8/2 13:00:00"
"33","XHPRO1073A","0.623","36","12","34","15","44","2017/8/1 22:00:00"
"34","XHPRO1073A","0.508","21","8","133","0","0","2017/7/31 14:00:00"
"35","XHPRO1073A","0.82","59","9","18","38","54","2017/7/30"
"36","XHPRO1073A","1.348","33","10","13","49","68","2017/8/1 6:00:00"
"37","XHPRO1073A","0.882","65","8","12","38","49","2017/7/29 23:00:00"
"38","XHPRO1073A","0.774","34","9","65","29","31","2017/7/29 20:00:00"
"39","XHPRO1073A","0.685","54","10","25","75","44","2017/7/30 3:00:00"
"40","XHPRO1073A","0.8","43","15","66","52","64","2017/7/30 9:00:00"
"41","XHPRO1073A","0.984","30","16","106","49","64","2017/7/30 11:00:00"
"42","XHPRO1073A","0.884","37","11","44","43","58","2017/8/1 9:00:00"
"43","XHPRO1073A","0.981","32","18","138","56","90","2017/7/31 17:00:00"
"44","XHPRO1073A","1.445","39","23","137","60","84","2017/7/31 18:00:00"
"45","XHPRO1073A","0.549","31","14","46","23","35","2017/8/1 21:00:00"
"46","XHPRO1073A","1.343","78","9","3","105","142","2017/7/31 4:00:00"
"47","XHPRO1073A","1.357","72","10","9","78","128","2017/7/31 5:00:00"
"48","XHPRO1073A","1.226","35","22","124","81","107","2017/7/31 19:00:00"
"49","XHPRO1073A","1.204","31","14","101","58","88","2017/7/31 20:00:00"
"50","XHPRO1073A","1.227","62","8","53","87","136","2017/7/30 22:00:00"
"51","XHPRO1073A","0.936","32","10","142","88","92","2017/7/30 17:00:00"
"52","XHPRO1073A","1.287","56","8","49","123","143","2017/7/30 23:00:00"
"53","XHPRO1073A","1.007","33","11","6","39","68","2017/8/2 7:00:00"
"54","XHPRO1073A","0.612","19","7","69","28","30","2017/8/2 19:00:00"
"55","XHPRO1073A","0.806","50","11","26","58","66","2017/8/1 1:00:00"
"56","XHPRO1073A","0.584","18","10","87","44","25","2017/8/1 16:00:00"
"57","XHPRO1073A","1.277","83","9","11","98","131","2017/7/31 1:00:00"
"58","XHPRO1073A","1.289","63","8","17","97","147","2017/7/31 2:00:00"
"59","XHPRO1073A","1.186","27","12","129","72","92","2017/7/31 12:00:00"
"60","XHPRO1073A","0.538","40","9","24","33","42","2017/8/2"
"61","XHPRO1073A","0.928","35","9","24","33","43","2017/8/2 1:00:00"
"62","XHPRO1073A","0.947","30","11","10","39","64","2017/8/2 6:00:00"
"63","XHPRO1073A","0.521","16","8","108","28","40","2017/8/2 14:00:00"
"64","XHPRO1073A","1.268","29","11","81","55","80","2017/7/31 21:00:00"
"65","XHPRO1073A","0.643","25","8","74","28","16","2017/7/29 19:00:00"
"66","XHPRO1073A","0.963","25","9","75","56","74","2017/7/31 22:00:00"
"67","XHPRO1073A","0.958","46","9","100","31","76","2017/8/3 21:00:00"
"68","XHPRO1073A","1.045","31","19","166","104","108","2017/7/30 14:00:00"
"69","XHPRO1073A","1.118","28","25","149","116","112","2017/7/30 13:00:00"
"70","XHPRO1073A","1.023","31","16","180","107","110","2017/7/30 15:00:00"
"71","XHPRO1073A","0.951","30","11","161","104","103","2017/7/30 16:00:00"
"72","XHPRO1073A","1.619","29","8","21","42","70","2017/8/1 7:00:00"
"73","XHPRO1073A","0.868","29","9","140","20","42","2017/8/3 19:00:00"
"74","XHPRO1073A","0.583","23","10","134","54","77","2017/7/31 16:00:00"
