"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XHWAT2014043000209","0.08","0.2","0.72","1475.96","33.84","37.44","-46","-5","2017/5/8 14:00:00","3256.2","535.48","51.4","3"
"2","XHWAT2014043000209","0.03","0.07","0.27","783.97","15.6","18.5","-46","-5","2017/5/5 16:00:00","1662.6","268.8","42.17","3"
"3","XHWAT2014043000209","0","0.13","0.23","186.33","49.47","60.67","-46","-5","2017/5/8 5:00:00","6110.7","1552.67","208.4","3"
"4","XHWAT2014043000209","0","0.07","0.4","514.27","13.23","14.8","-46","-5","2017/5/6 1:00:00","1546.67","205.23","29.63","3"
"5","XHWAT2014043000209","0.07","0.2","0.4","911.83","37.17","39.9","-46","-5","2017/5/9 12:00:00","3960.83","501.53","41.27","3"
"6","XHWAT2014043000209","0.1","0.2","0.47","617.13","15.27","16.77","-46","-5","2017/5/5 19:00:00","1604.17","198.93","25.63","3"
"7","XHWAT2014043000209","0.1","0.27","0.63","172.87","69.57","72.23","-46","-5","2017/5/4 2:00:00","6933.37","878.53","42.8","3"
"8","XHWAT2014043000209","0.08","0","0.28","687.4","73.52","80.28","-46","-5","2017/5/8 10:00:00","7596.44","1142.12","106.6","3"
"9","XHWAT2014043000209","0.17","0.23","0.47","938.7","19.57","22.03","-46","-5","2017/5/8 20:00:00","2052.13","296.97","37.57","3"
"10","XHWAT2014043000209","0.17","0.1","0.4","458.4","46.13","53.8","-46","-5","2017/5/8 8:00:00","5267.13","1079.77","125.07","3"
"11","XHWAT2014043000209","0.03","0.1","0.43","524.83","13.83","15.23","-46","-5","2017/5/6 2:00:00","1573.03","205.53","25.17","3"
"12","XHWAT2014043000209","0","0.03","0.37","1040.2","24.43","27.7","-46","-5","2017/5/7 11:00:00","2364.6","374.6","47.13","3"
