"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082016010100032","322.63","1141.37","123.4","2650.57","27.33","34.53","40.6","47.97","2017/7/11 13:00:00","2433.73","800.33","120","8.07"
"2","XH8082016010100032","354.2","347.87","836.2","1316.17","20.77","23.9","30","75","2017/7/11 3:00:00","1935.4","665.9","109.5","8.63"
"3","XH8082016010100032","342.6","367.93","799.1","1438.9","12.73","15.5","32","74.53","2017/7/12 23:00:00","1236.8","396.13","75.43","8.1"
"4","XH8082016010100032","345.83","385.9","814.03","1443.83","19.17","22.87","31","71.93","2017/7/11","1741.87","591.83","103.5","9.53"
"5","XH8082016010100032","355.97","354.6","780.13","1376.27","27.47","31.87","31","72.17","2017/7/14 2:00:00","2531.8","890.37","139.93","10.37"
"6","XH8082016010100032","359.4","323.97","815.37","1246.1","20.57","24.37","30","80.97","2017/7/13 4:00:00","1885.13","665.8","116.6","11.6"
"7","XH8082016010100032","81.57","343.5","804.1","1292.83","20.47","23.6","30.07","74.3","2017/7/12 3:00:00","1883.3","663.13","111.6","9.6"
"8","XH8082016010100032","270.57","1075.37","53.83","2859.23","24.3","32.17","43.07","43.23","2017/7/13 15:00:00","2178.03","694.97","107.53","7.67"
"9","XH8082016010100032","344.77","1227.3","25.57","2612.27","37.4","47.47","38.97","53.1","2017/7/14 12:00:00","3146.1","1104.9","171.63","11.47"
"10","XH8082016010100032","335.13","357.87","794.93","1504","16.6","20.1","32.33","66.57","2017/7/11 22:00:00","1545.87","506.77","92.37","8.63"
"11","XH8082016010100032","364.93","321.9","806.17","1189.47","26.77","30.6","29","78.73","2017/7/14 6:00:00","2425.13","871.5","146.73","12.27"
"12","XH8082016010100032","353.63","407.37","795.8","1547.5","15.83","19.17","32","68.93","2017/7/10 22:00:00","1492.5","491.2","89.57","8.03"
"13","XH8082016010100032","74.9","444.63","758.97","1436.07","37.23","45.23","32.5","71.43","2017/7/12 8:00:00","3179.7","1175.37","191.8","15.3"
"14","XH8082016010100032","357.67","364.97","771","1275.57","27.43","31.17","30.03","75.97","2017/7/14 4:00:00","2548.83","905.47","143.37","10.33"
"15","XH8082016010100032","279.83","1033.93","211","2740.63","29.27","38.7","40.67","50.63","2017/7/11 17:00:00","2610.33","866.57","129.33","10.9"
"16","XH8082016010100032","288.5","1171.03","71.2","2901.57","32.3","42.4","42","47.97","2017/7/11 15:00:00","2834.13","935.7","139.07","10.57"
"17","XH8082016010100032","325.3","653.93","562.7","2015.1","20.63","25.7","35","57.1","2017/7/13 19:00:00","1878.7","625.8","105.43","10.03"
"18","XH8082016010100032","350.93","337.17","779.93","1331.67","14","17.2","31.03","71.63","2017/7/15","1286.97","428.07","88.83","10.6"
"19","XH8082016010100032","355.47","369.77","798.8","1307.8","21.77","24.6","30","76.7","2017/7/11 4:00:00","2013.87","703.77","117.17","9.67"
"20","XH8082016010100032","351.77","404.43","735.03","1509.27","15.93","19.63","33","66.33","2017/7/14 21:00:00","1414.03","477.63","93.03","9.17"
"21","XH8082016010100032","296.93","888.57","194.73","2368.47","16.93","22.57","38.7","51.53","2017/7/14 16:00:00","1564.53","494.47","86.67","8.8"
"22","XH8082016010100032","344.2","357.4","798.93","1456.57","18.83","22.5","32","69.87","2017/7/12","1753.4","594.37","101.5","9.13"
"23","XH8082016010100032","274.03","647.2","516.6","2184.47","7.83","9.53","40.97","43.6","2017/7/10 14:00:00","903.13","214.63","37.03","3.5"
