"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A016112900933","395.7","1198.67","481.37","1822.63","21.63","31.7","41.23","43.3","2017/7/11 13:00:00","1958.83","614.63","91.17","4.37"
"2","XH808A016112900933","372.3","627.87","960.9","962.5","12.93","24.67","32.17","69.33","2017/7/12 23:00:00","1182.27","332.23","62.7","5.2"
"3","XH808A016112900933","392.07","644.87","907.9","984.93","26.7","45.5","32","67.3","2017/7/14 2:00:00","2341.97","755.23","121.73","8.47"
"4","XH808A016112900933","371.83","625.8","898.2","988.73","15.3","29.33","33","62.33","2017/7/11 22:00:00","1362.1","404.7","75.33","6.57"
"5","XH808A016112900933","375.27","628.73","903.8","970.07","17.67","34.3","31.83","67.2","2017/7/11","1558.6","480.77","86.7","6.67"
"6","XH808A016112900933","386.07","1191.83","418.77","1852.73","17.6","27","42.77","40","2017/7/13 15:00:00","1662.17","498.83","76.17","4.3"
"7","XH808A016112900933","368","632.97","922.97","929.97","19.1","31.7","30.77","70.2","2017/7/11 3:00:00","1681.23","521.53","89.03","6.1"
"8","XH808A016112900933","375.47","617.93","938.53","924.13","26.67","45.87","31","70.5","2017/7/14 4:00:00","2295.93","739.9","119.73","8.57"
"9","XH808A016112900933","406.57","728.6","880.5","1095.27","33.63","62.3","33.63","64.43","2017/7/12 8:00:00","2689.83","921.73","156.7","11.5"
"10","XH808A016112900933","369.47","575.5","925.2","847.87","26.1","49.63","30","73.8","2017/7/14 6:00:00","2209.07","730.7","127.8","10.57"
"11","XH808A016112900933","377.3","634.57","888.07","1014.9","14.9","31.83","32","64.93","2017/7/10 22:00:00","1330.37","393.23","76.33","7.8"
"12","XH808A016112900933","367.33","598.63","945.37","898.1","21.17","44.57","31","69.43","2017/7/12 3:00:00","1761.63","560.3","107.73","10.03"
"13","XH808A016112900933","368.57","570.6","939.13","828.9","19.2","38.5","30.83","76.2","2017/7/13 4:00:00","1672.6","517.8","92.2","7.63"
"14","XH808A016112900933","397.23","1338","374.63","1904.03","30.77","51.5","39.47","48.43","2017/7/14 12:00:00","2602.17","864.3","137.5","7.87"
"15","XH808A016112900933","385.2","1158.67","441.17","1781.97","22.87","39.93","40.63","46.83","2017/7/11 17:00:00","1913.8","611.23","103.87","6.97"
"16","XH808A016112900933","395.1","747.33","951.43","1103.13","28.1","61.83","33.93","65.93","2017/7/13 8:00:00","2360.3","836.6","183.97","29.27"
"17","XH808A016112900933","365.27","531.1","964.17","776.2","14.4","27.83","30","72.73","2017/7/15 4:00:00","1359.87","397.17","70.9","5.4"
"18","XH808A016112900933","367.63","644.63","904.83","989.07","17.37","31.67","32","64.13","2017/7/12","1568.83","472.93","80.23","6.53"
"19","XH808A016112900933","384.7","834.5","803.87","1449.33","7.27","13.93","41.2","39.57","2017/7/10 14:00:00","847.83","193.17","35.2","3.03"
"20","XH808A016112900933","395.8","630.23","988.73","1035.43","10.07","22.03","35.6","51.73","2017/7/10 9:00:00","982.37","258.7","51.4","5.37"
"21","XH808A016112900933","411.8","1109.03","656.4","1663.57","23.6","38.97","39.33","48.67","2017/7/11 11:00:00","2073.8","655.63","102.4","6.9"
"22","XH808A016112900933","385.63","625.9","925.83","964.3","23.53","40.47","32","66.77","2017/7/14 1:00:00","2032.97","653.83","110.97","8.73"
"23","XH808A016112900933","380.23","1223.77","444.13","1855.37","22.37","34.53","41.8","44.5","2017/7/11 15:00:00","2000.93","623.67","94.27","5.03"
"24","XH808A016112900933","393.3","1003.27","751.8","1455.87","24.33","44.37","37.1","55.27","2017/7/13 10:00:00","2062.5","668.5","111.17","8.63"
"25","XH808A016112900933","381.87","883.3","688.7","1385.07","18.77","30.67","35.67","52.73","2017/7/13 19:00:00","1687.67","518.2","86","6.23"
"26","XH808A016112900933","391.83","850.9","863.2","1235.63","24.87","46.07","35.33","60.23","2017/7/13 9:00:00","2129.5","698.03","112.57","9.23"
"27","XH808A016112900933","388.57","706.73","860.9","1083.87","24.53","47.53","32.9","62.7","2017/7/13 23:00:00","1993.63","654.13","119.13","10.13"
"28","XH808A016112900933","417.73","1013.7","733.1","1508.9","26.03","45.83","37.6","53.43","2017/7/11 10:00:00","2187.8","716.8","117.77","9.1"
"29","XH808A016112900933","387.57","1280.97","374.27","1897.07","21.63","32.23","41.17","44.6","2017/7/11 14:00:00","1912.87","596.63","91.77","4.7"
"30","XH808A016112900933","382.3","1076.83","499","1613.53","15.13","32.4","38.7","47.4","2017/7/14 16:00:00","1365.07","405.77","75.57","7.53"
"31","XH808A016112900933","368.63","627.63","919.97","901.27","19.63","30.9","30","71.9","2017/7/11 4:00:00","1711.23","532.8","89.97","5.57"
"32","XH808A016112900933","384.9","726.63","785.63","1159.27","20.8","35.83","34.4","55.67","2017/7/13 21:00:00","1807.53","569.77","96.4","7"
"33","XH808A016112900933","388.17","704.3","832.47","1080.93","15.1","28.7","33","62.53","2017/7/14 21:00:00","1336.23","394.6","74.8","6.53"
"34","XH808A016112900933","363.4","556.27","961.07","833.47","13.77","25.97","30.9","70.6","2017/7/15 2:00:00","1267.2","365.6","68.97","5.77"
"35","XH808A016112900933","374.6","1018.43","603.63","1613.7","11.17","20.67","40.13","44.67","2017/7/10 15:00:00","1075.9","292.63","54.8","5.2"
"36","XH808A016112900933","379.17","624.43","924.7","943.07","15.27","28.9","31.93","66.97","2017/7/15","1302.77","391.13","76.93","6.77"
"37","XH808A016112900933","411.63","857.93","822.23","1266.8","30.1","54.67","35.6","59.03","2017/7/11 9:00:00","2438.67","825.17","143.57","10.47"
"38","XH808A016112900933","374.6","844.47","752.33","1386.77","9.97","22.63","38.23","49.87","2017/7/10 18:00:00","999.1","264.63","52.97","5.27"
"39","XH808A016112900933","404.1","1159.87","644.07","1657.77","21.77","39.63","39.27","48.87","2017/7/13 11:00:00","1970.37","617.43","97.2","7.2"
"40","XH808A016112900933","385.9","627.63","920.83","938.33","29.53","44.87","31.03","70.13","2017/7/14 3:00:00","2582.93","846.83","127.17","7.57"
"41","XH808A016112900933","372.17","965.6","640.27","1451.9","13.8","32.43","37.33","52.73","2017/7/14 17:00:00","1237","362.53","72.07","8.17"
"42","XH808A016112900933","367.77","753.47","809.8","1157.53","11.53","27.33","34.13","63.47","2017/7/12 20:00:00","1082.13","299.73","60.23","6.47"
"43","XH808A016112900933","376.73","1235.4","428.43","1835.73","17.1","28.3","41.4","41.9","2017/7/14 15:00:00","1630.33","479.03","72.5","4.17"
"44","XH808A016112900933","389.57","814.63","867.63","1318.63","9.27","23.83","38.9","42.5","2017/7/10 11:00:00","910.03","227.37","49.53","6.53"
"45","XH808A016112900933","368.07","621.03","924.97","971.13","15.8","29.63","32.07","63.83","2017/7/11 23:00:00","1433.03","422.03","73.93","6.27"
"46","XH808A016112900933","397.33","1326.8","359","1950.47","25.43","43.33","41.13","44.83","2017/7/14 13:00:00","2282.9","725.23","106.73","6.63"
"47","XH808A016112900933","365.07","518.7","946","764.53","17.17","34.13","30","74.47","2017/7/15 5:00:00","1544.07","464.6","82.17","7.4"
"48","XH808A016112900933","382.6","600.5","918.87","900.5","28.13","50.73","30.83","71.63","2017/7/14 7:00:00","2365.33","778.43","132.07","10.1"
"49","XH808A016112900933","379.6","667.2","884.23","974.27","27.57","55.97","30.73","74.07","2017/7/11 7:00:00","2210.23","731.8","135.7","11.17"
"50","XH808A016112900933","370.97","1014.07","605","1549.53","19","33.37","38.4","50.43","2017/7/11 18:00:00","1630","509","83.8","5.2"
"51","XH808A016112900933","380.07","779.8","873.33","1386.73","6.27","11.47","41.1","38.67","2017/7/10 13:00:00","755.87","157.73","29.57","2.4"
"52","XH808A016112900933","365.9","652.87","877.37","1037.67","13.57","27.33","32.77","63.27","2017/7/10 21:00:00","1228.6","349.53","66.07","6.1"
"53","XH808A016112900933","373.83","606.1","910.83","877.8","23.37","51","30","73.5","2017/7/11 5:00:00","1898.43","628.73","129.8","13.9"
"54","XH808A016112900933","409.03","749.33","866.47","1131.83","31.97","64.7","33.87","64.23","2017/7/11 8:00:00","2476.97","861.23","162.57","14.47"
"55","XH808A016112900933","368.93","614.87","936.13","954.1","11.53","24.37","32.9","68.63","2017/7/12 22:00:00","1103.1","305.9","59.6","5.57"
"56","XH808A016112900933","384.23","1200.4","402.23","1848.33","17.27","32.33","41.63","45.23","2017/7/12 17:00:00","1505.07","464.93","78.77","5.8"
"57","XH808A016112900933","367.13","581.17","924.53","823.93","21.23","42","30","77.6","2017/7/13 5:00:00","1700.3","544.67","107.2","9.27"
"58","XH808A016112900933","362.13","507.4","1018.17","792.53","8.2","14.53","30.67","66","2017/7/10 3:00:00","892.47","218.83","42.5","4.1"
"59","XH808A016112900933","365","697.43","856.67","1104.83","11.93","23.07","33.4","60.53","2017/7/10 20:00:00","1133.57","314.9","59","5.3"
"60","XH808A016112900933","383.47","657.77","928.93","954.77","29.67","50.67","31.33","74.87","2017/7/13 7:00:00","2384.53","793.37","134.97","10"
"61","XH808A016112900933","374.73","773.73","795.8","1222","11.83","27.7","35.27","56.43","2017/7/10 19:00:00","1106.1","307.4","59.8","6.4"
"62","XH808A016112900933","386.37","617.93","928.57","975.77","19.57","47.73","32","70.1","2017/7/9 22:00:00","1479.47","456.37","93.23","9.13"
"63","XH808A016112900933","382","556.93","989.77","887.1","17.7","37.57","31","70.63","2017/7/10","1482.9","457.07","88.7","8.83"
"64","XH808A016112900933","375.1","595.6","914.53","849.2","23.03","43.23","29.73","76.77","2017/7/11 6:00:00","1937.53","621.1","110.87","9.27"
"65","XH808A016112900933","360.3","464.7","1040.1","695.7","12","23.87","29","72.53","2017/7/10 6:00:00","1095.63","307.93","62.8","6.13"
"66","XH808A016112900933","382.67","751.47","772.83","1229.8","19.77","40.23","35","51.77","2017/7/13 20:00:00","1723.6","540","89.7","8.23"
"67","XH808A016112900933","415.07","1142.63","582.53","1661.67","29.6","51.23","38.23","51.3","2017/7/14 11:00:00","2490.77","827.97","131.8","8.9"
"68","XH808A016112900933","390.4","858","728.43","1287.97","16.43","39.9","34.73","59.33","2017/7/14 19:00:00","1376.13","419.57","85.07","9.57"
"69","XH808A016112900933","366.97","537.77","938.1","780.13","19.23","39.47","29.97","76.47","2017/7/15 6:00:00","1650.97","513.67","97.6","8.83"
"70","XH808A016112900933","375.07","593.17","940.5","923.83","16.2","33.9","32","65.57","2017/7/14 23:00:00","1381.57","419.33","82.63","7.43"
"71","XH808A016112900933","417.3","1009.9","735.17","1507.33","38.97","68.4","37.67","53.93","2017/7/12 10:00:00","3148.9","1089.47","175.73","10.5"
"72","XH808A016112900933","369.77","587.8","952.17","869.07","15.83","30.6","31","69.37","2017/7/15 1:00:00","1404.3","424.8","80.67","6.6"
"73","XH808A016112900933","380.43","632.17","917.47","979.87","18.1","33.43","32.57","64.67","2017/7/14 22:00:00","1536.93","479.33","89.27","7.3"
"74","XH808A016112900933","371.53","634.27","905","987","16.4","30.73","32","66.73","2017/7/10 23:00:00","1439.17","439.7","80.97","6.43"
"75","XH808A016112900933","377.67","608.43","933.37","978.23","13.2","30.8","32.3","68.43","2017/7/9 21:00:00","1236.83","357.23","70.77","7.67"
"76","XH808A016112900933","391.9","722.5","938.53","1160.1","10.7","25.47","37.2","46.73","2017/7/10 10:00:00","994.97","270.6","57.97","7.03"
"77","XH808A016112900933","384.3","575.9","1010.53","920.77","11.5","29.43","33.27","58.33","2017/7/10 8:00:00","1060.67","300.53","63.2","7.4"
"78","XH808A016112900933","371.17","548.97","965.57","812.33","15.07","26.9","30","71.57","2017/7/15 3:00:00","1320.8","387.53","73.8","6"
"79","XH808A016112900933","366.03","536.5","1016.33","844.63","10.93","19.77","31","68.47","2017/7/10 1:00:00","1111.6","297.2","52.7","4.4"
"80","XH808A016112900933","367.77","524.33","1028.77","817.8","10.97","25.43","30.63","67.03","2017/7/10 7:00:00","1025.17","281.23","57.93","7.6"
"81","XH808A016112900933","369.43","610.97","962.03","921.27","13.8","29.27","32","70.6","2017/7/13","1241.33","358.6","71.3","6.8"
"82","XH808A016112900933","399.57","1135.97","626.9","1689.63","19.67","32.8","40.7","45.03","2017/7/13 12:00:00","1813.73","550.9","85.47","5.53"
"83","XH808A016112900933","360.13","646.33","881.43","1024.2","13.63","25.87","33","59.57","2017/7/11 21:00:00","1262.9","367.03","66.83","6.03"
"84","XH808A016112900933","367.97","825.37","746.17","1266.77","15.9","29.43","35.53","56.27","2017/7/11 19:00:00","1459.4","431.03","75.27","6.57"
"85","XH808A016112900933","360.97","578.77","926.4","839.4","22.5","35.67","29.97","73.87","2017/7/12 6:00:00","1929.43","622.03","105.73","6.6"
"86","XH808A016112900933","364.03","565.67","960.5","834.9","22.63","37.07","30","72.9","2017/7/12 5:00:00","1963.2","626.07","103.43","7.07"
"87","XH808A016112900933","372.33","613.83","931.23","920.37","18.67","34.6","31","69.13","2017/7/11 2:00:00","1599.63","494.7","88.53","6.67"
"88","XH808A016112900933","370","598.3","932.03","869.83","21.6","42.2","30.03","71.47","2017/7/12 4:00:00","1794.7","568.63","104.03","8.33"
"89","XH808A016112900933","367.87","630.13","897.93","946.27","18.63","28.83","31.53","66.6","2017/7/12 1:00:00","1664.23","516","89.43","5.97"
"90","XH808A016112900933","367.73","603.67","927","874.43","18.27","32.93","31","75.87","2017/7/13 3:00:00","1577.03","489.63","89.03","6.53"
"91","XH808A016112900933","383.9","1251.33","417.97","1890.43","25.73","42.4","41.73","45.8","2017/7/11 16:00:00","2213.5","719","115.3","7.1"
"92","XH808A016112900933","371.93","620.5","927","915.8","20.93","39.13","31","69.1","2017/7/12 2:00:00","1727.6","547.4","101.77","8.23"
"93","XH808A016112900933","368.63","625.27","923.97","940.53","18.1","33.03","31","68.83","2017/7/11 1:00:00","1567","483.87","88.33","6.3"
"94","XH808A016112900933","384.83","1258.77","358.33","1876.27","24.7","40.53","41.3","47.67","2017/7/13 16:00:00","2105.6","684.3","112","6.93"
"95","XH808A016112900933","399.77","1174.17","556.6","1732.2","21.1","32.27","39.8","46.27","2017/7/11 12:00:00","1880.4","591.4","88.83","4.8"
"96","XH808A016112900933","373.87","573.1","973.13","904","17.43","40.07","31.2","71.5","2017/7/9 23:00:00","1491.77","446.53","81.2","8.87"
"97","XH808A016112900933","378.5","619.93","904.17","933","28.63","55.13","31.03","71.6","2017/7/12 7:00:00","2359.87","788.53","136.57","11.5"
"98","XH808A016112900933","381.27","638.2","878.4","979.8","21.33","42.63","32","64.83","2017/7/14","1789.37","574.03","103.47","8.8"
"99","XH808A016112900933","376.07","1057.6","542.83","1667.1","11.3","24.57","39.83","46.73","2017/7/10 16:00:00","1073.2","301.9","61.03","6.73"
"100","XH808A016112900933","398.13","1264.73","440.63","1931.77","24","37.03","42.4","40.77","2017/7/12 13:00:00","2177.47","679.97","100.1","5.3"
"101","XH808A016112900933","399.23","1312.6","456.63","1907.63","29.13","41.77","40.37","45.4","2017/7/12 12:00:00","2494.9","814.6","123.67","5.33"
"102","XH808A016112900933","358","488.1","1013.03","744.07","10.53","26.37","30","68.03","2017/7/10 4:00:00","977.07","259.67","57.4","6.4"
"103","XH808A016112900933","407.47","1189.47","603.1","1738.67","36.27","54.33","39.2","49.83","2017/7/12 11:00:00","2991.63","1010.5","156.63","7.8"
"104","XH808A016112900933","366.9","906","680.58","1372.26","13.39","29.68","36.03","58.74","2017/7/12 19:00:00","1244.55","361.55","69.87","6.81"
"105","XH808A016112900933","360.37","636.33","913.5","1013","11","24.73","33.13","66.2","2017/7/12 21:00:00","1048.07","285.43","55.67","6.27"
