"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"1","XHPRO1252A","0.812","35","8","24","20","61","2017/8/3 22:00:00"
"2","XHPRO1252A","1.032","50","8","8","22","67","2017/8/3 23:00:00"
"3","XHPRO1252A","1.265","40","8","26","32","49","2017/8/2 9:00:00"
"4","XHPRO1252A","0.928","19","8","19","29","51","2017/8/3 4:00:00"
"5","XHPRO1252A","0.988","21","8","70","17","12","2017/8/2 10:00:00"
"6","XHPRO1252A","0.972","19","8","78","21","33","2017/8/2 11:00:00"
"7","XHPRO1252A","0.827","10","8","102","20","24","2017/8/2 13:00:00"
"8","XHPRO1252A","0.925","21","8","32","24","51","2017/8/3 1:00:00"
"9","XHPRO1252A","0.941","24","8","15","29","56","2017/8/3 3:00:00"
"10","XHPRO1252A","0.942","22","8","23","24","56","2017/8/3 2:00:00"
"11","XHPRO1252A","0.906","13","8","97","20","24","2017/8/2 12:00:00"
"12","XHPRO1252A","0.973","20","8","15","31","55","2017/8/3 7:00:00"
"13","XHPRO1252A","1.038","27","8","27","32","68","2017/8/3 9:00:00"
"14","XHPRO1252A","0.941","19","8","16","30","53","2017/8/3 5:00:00"
"15","XHPRO1252A","0.952","20","8","14","29","50","2017/8/3 6:00:00"
"16","XHPRO1252A","1.071","28","8","14","34","65","2017/8/3 8:00:00"
"17","XHPRO1252A","0.946","21","8","54","31","54","2017/8/3 10:00:00"
"18","XHPRO1252A","0.657","10","9","138","36","61","2017/8/3 13:00:00"
"19","XHPRO1252A","0.604","10","9","127","41","63","2017/8/3 15:00:00"
"20","XHPRO1252A","0.629","10","9","128","36","52","2017/8/3 14:00:00"
"21","XHPRO1252A","0.847","27","","87","33","66","2017/8/3 11:00:00"
"22","XHPRO1252A","1.208","65","9","10","23","63","2017/8/3 20:00:00"
"23","XHPRO1252A","0.876","43","9","20","20","61","2017/8/3 21:00:00"
"24","XHPRO1252A","0.718","","12","136","35","70","2017/8/3 12:00:00"
"25","XHPRO1252A","0.577","10","8","104","42","64","2017/8/3 16:00:00"
"26","XHPRO1252A","0.811","38","8","51","30","35","2017/8/3 18:00:00"
"27","XHPRO1252A","1.141","65","8","24","26","50","2017/8/3 19:00:00"
"28","XHPRO1252A","0.71","19","8","77","32","41","2017/8/3 17:00:00"
"29","XHPRO1252A","1.375","39","8","9","32","53","2017/8/2 8:00:00"
"30","XHPRO1252A","0.809","16","8","98","35","56","2017/8/2 18:00:00"
"31","XHPRO1252A","0.802","14","8","118","31","54","2017/8/2 16:00:00"
"32","XHPRO1252A","0.81","15","8","101","23","28","2017/8/2 14:00:00"
"33","XHPRO1252A","0.897","21","8","72","29","49","2017/8/2 20:00:00"
"34","XHPRO1252A","0.894","21","8","79","31","58","2017/8/2 19:00:00"
"35","XHPRO1252A","0.9","24","8","49","23","42","2017/8/2 22:00:00"
"36","XHPRO1252A","0.806","16","8","119","35","59","2017/8/2 17:00:00"
"37","XHPRO1252A","0.821","15","8","104","28","48","2017/8/2 15:00:00"
"38","XHPRO1252A","0.892","22","8","60","27","49","2017/8/2 21:00:00"
"39","XHPRO1252A","0.894","19","8","38","27","47","2017/8/3"
"40","XHPRO1252A","0.89","21","8","44","24","43","2017/8/2 23:00:00"
"41","XHPRO1252A","1.4","67","8","16","24","34","2017/8/1 17:00:00"
"42","XHPRO1252A","1.342","41","8","2","28","41","2017/8/2 4:00:00"
"43","XHPRO1252A","0.729","6","8","42","9","19","2017/7/30 19:00:00"
"44","XHPRO1252A","0.756","1","8","55","10","13","2017/7/31 4:00:00"
