"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH8082015110400910","147.86","600.76","142.81","1470.05","15.57","20.71","30","62.05","2017/7/14 4:00:00","","","",""
"2","XH8082015110400910","162.86","411.14","199.86","1027.38","45.67","51.29","30","99.38","2017/7/13 4:00:00","","","",""
"3","XH8082015110400910","179.81","504.86","187.71","1197.57","40.52","46.33","31.62","94.86","2017/7/12 8:00:00","","","",""
"4","XH8082015110400910","148.1","665.19","137.48","1554.71","12.76","17.9","30","61.67","2017/7/14 2:00:00","","","",""
"5","XH8082015110400910","185.35","633.65","170.6","1614.1","23.3","28.1","33.05","71.25","2017/7/12 23:00:00","","","",""
"6","XH8082015110400910","184.75","687.7","154.15","1788.7","10.85","16.3","32.85","32.45","2017/7/11 22:00:00","","","",""
"7","XH8082015110400910","169.1","434.62","182.43","1298.62","13.81","18.14","32","49.14","2017/7/12 3:00:00","","","",""
"8","XH8082015110400910","195.57","679.52","139.76","1890.1","19.1","24.38","32.95","41.29","2017/7/10 22:00:00","","","",""
"9","XH8082015110400910","293","1351.52","199.33","3244.33","33.9","50.19","41.52","33.43","2017/7/11 17:00:00","","","",""
"10","XH8082015110400910","291.33","1009.95","208.19","2632.9","23.67","33.9","40.95","46.67","2017/7/13 15:00:00","","","",""
"11","XH8082015110400910","147.7","483.65","151.75","1243.15","19.15","23.95","28.25","71.65","2017/7/14 6:00:00","","","",""
"12","XH8082015110400910","299.24","1386.24","187.9","2969.67","44.62","62.14","40","47","2017/7/11 13:00:00","","","",""
"13","XH8082015110400910","179.81","468.19","156.24","1257.24","61.81","71.14","29.48","78.38","2017/7/11 3:00:00","","","",""
"14","XH8082015110400910","144.24","575.95","114.95","1269.86","21.29","23.81","27","112.81","2017/7/15 4:00:00","","","",""
"15","XH8082015110400910","173.7","719.25","141.2","1798.85","17.2","21.75","31.85","34.85","2017/7/11","","","",""
"16","XH8082015110400910","252.25","946.85","178.9","2387.4","37.35","49.05","38.75","52.65","2017/7/14 12:00:00","","","",""
"17","XH8082015110400910","250","1012.62","171.1","2577.29","34.14","46.38","38.1","57.71","2017/7/13 19:00:00","","","",""
"18","XH8082015110400910","227.43","718.9","168.9","1998.48","24.76","31.67","35.1","66.81","2017/7/13 21:00:00","","","",""
"19","XH8082015110400910","240.25","607","242.85","1337.85","48.65","58.8","32.65","56.85","2017/7/10 9:00:00","","","",""
"20","XH8082015110400910","286.14","782.29","244.57","1769.19","58.71","74.62","36.1","77.1","2017/7/11 10:00:00","","","",""
