"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A416121600981","401.87","816.53","408.47","1327.63","7.9","8.43","23","36.2","2017/7/11 3:00:00","977.43","303.8","73.63","8.33"
"2","XH808A416121600981","420.37","900.77","370.37","1303.13","16.6","22.07","30.1","20.33","2017/7/11 22:00:00","1524.6","582.43","161.33","26.63"
"3","XH808A416121600981","439.7","282.7","205.6","1635.33","19.1","24.37","39.7","17.67","2017/7/13 15:00:00","1878.1","682","145.07","14.8"
"4","XH808A416121600981","430.23","1068.37","512.83","1231.7","14.2","17.13","26.3","34.8","2017/7/14 2:00:00","1451.07","527.53","134.6","18.1"
"5","XH808A416121600981","441.67","1040.4","599.77","1153.37","18.9","22.3","23.97","41.73","2017/7/14 4:00:00","1839.33","715.5","175.43","21.8"
"6","XH808A416121600981","417.57","1072.13","611.63","1173.83","18.4","20.97","20.9","72.57","2017/7/15 4:00:00","1801.47","704.3","173.23","19.6"
"7","XH808A416121600981","468.57","935.77","1085.37","1007.73","21.83","25.03","23.63","34.7","2017/7/12 3:00:00","2012.87","819.73","201.47","21.93"
"8","XH808A416121600981","426.3","450.87","305.83","1341.77","7.5","9.1","35.93","18.13","2017/7/11 13:00:00","949.33","270.1","66.63","8.77"
"9","XH808A416121600981","490.77","893.23","984.63","1026.6","30.43","36.73","22.3","38.73","2017/7/12 8:00:00","2565.67","1135.53","297.83","37.83"
"10","XH808A416121600981","412.37","725.1","459.37","1303.6","13.6","17.33","30.9","26.23","2017/7/12 23:00:00","1416.83","493.83","120.7","15.6"
"11","XH808A416121600981","399.8","827.53","419.37","1320.6","6.97","8.3","25","31.63","2017/7/11","902.17","268.1","71.67","9.37"
"12","XH808A416121600981","468.87","980.27","774.03","1068.17","31.73","36.27","22.1","44.5","2017/7/14 6:00:00","2751.03","1214.97","297.23","28.77"
"13","XH808A416121600981","425.03","997.5","657.8","1150.53","25.03","28.77","24.37","48.57","2017/7/13 4:00:00","2347.57","963.37","218.53","19.53"
"14","XH808A416121600981","408.03","902.3","472.83","1243.3","9.97","12.8","26.53","28.77","2017/7/10 22:00:00","1077.2","360.67","101","16.33"
"15","XH808A416121600981","402.2","312.5","365.2","1197.57","6.03","7.5","37.3","12.27","2017/7/11 17:00:00","810.23","199.3","52.33","7.37"
"16","XH808A416121600981","494.93","930.77","919.57","1069.87","29.9","34.77","24.27","45.7","2017/7/13 8:00:00","2687","1131.83","269.1","28"
"17","XH808A416121600981","452.37","522.13","514.1","1466.17","13.53","16.07","35.07","22.2","2017/7/14 12:00:00","1482.17","497.53","109.03","8.8"
"18","XH808A416121600981","420.43","342.9","355.1","1206.47","6.8","9.27","37.93","14.63","2017/7/10 14:00:00","882.5","238.67","64.37","10.8"
"19","XH808A416121600981","412.73","202.03","361.07","1142.3","5.1","6.77","39.53","11.43","2017/7/11 15:00:00","772.87","177.17","46.1","7.47"
"20","XH808A416121600981","427.4","772.57","429.4","1341.5","21.97","25.77","26.73","34.27","2017/7/11 10:00:00","2101.57","836.77","193.43","20.23"
